region,lfp_ratio,subject
CA1,1.8012791,SWC_054
DG,1.3882897,SWC_054
LP,2.2628648,SWC_054
PO,3.0066876,SWC_054
PPC,3.558589,SWC_054
CA1,1.643657,ZFM-02369
DG,1.4046172,ZFM-02369
LP,2.6540956,ZFM-02369
PO,3.089815,ZFM-02369
PPC,4.09445,ZFM-02369
CA1,1.2454684,ZFM-01592
DG,1.5471919,ZFM-01592
LP,2.0830545,ZFM-01592
PO,2.0747483,ZFM-01592
PPC,,ZFM-01592
CA1,1.591136,SWC_060
DG,1.5068716,SWC_060
LP,2.1622252,SWC_060
PO,2.2256846,SWC_060
PPC,3.5079153,SWC_060
CA1,1.4962682,NYU-12
DG,1.2869675,NYU-12
LP,1.28319,NYU-12
PO,1.4833059,NYU-12
PPC,1.5941889,NYU-12
CA1,2.1426425,ibl_witten_29
DG,1.659301,ibl_witten_29
LP,3.088632,ibl_witten_29
PO,3.6683733,ibl_witten_29
PPC,3.7206984,ibl_witten_29
CA1,1.380754,SWC_043
DG,1.2450825,SWC_043
LP,1.539007,SWC_043
PO,1.5863161,SWC_043
PPC,1.1551974,SWC_043
CA1,,ibl_witten_27
DG,0.66504514,ibl_witten_27
LP,0.6198754,ibl_witten_27
PO,,ibl_witten_27
PPC,0.6578456,ibl_witten_27
CA1,1.292244,CSHL058
DG,1.3135955,CSHL058
LP,1.6543138,CSHL058
PO,1.7385528,CSHL058
PPC,1.7313515,CSHL058
CA1,1.8485893,CSHL059
DG,1.3556564,CSHL059
LP,2.7334538,CSHL059
PO,,CSHL059
PPC,2.7775698,CSHL059
CA1,1.3368049,ZM_2241
DG,1.2723794,ZM_2241
LP,1.6160312,ZM_2241
PO,1.6582737,ZM_2241
PPC,1.4841129,ZM_2241
CA1,2.3149867,CSHL049
DG,1.7086952,CSHL049
LP,3.8495514,CSHL049
PO,,CSHL049
PPC,4.4175177,CSHL049
CA1,1.6398177,NYU-21
DG,1.3877816,NYU-21
LP,2.3827913,NYU-21
PO,2.5491815,NYU-21
PPC,2.0401278,NYU-21
CA1,1.6227143,CSHL051
DG,1.5950732,CSHL051
LP,,CSHL051
PO,,CSHL051
PPC,2.6548605,CSHL051
CA1,1.8577907,DY_018
DG,1.4392748,DY_018
LP,2.0168996,DY_018
PO,,DY_018
PPC,3.7417264,DY_018
CA1,2.4148374,NYU-45
DG,2.103032,NYU-45
LP,3.0175524,NYU-45
PO,3.1280515,NYU-45
PPC,3.912736,NYU-45
CA1,1.9730994,NYU-48
DG,1.6197348,NYU-48
LP,2.222125,NYU-48
PO,,NYU-48
PPC,2.1492317,NYU-48
CA1,1.3804736,ZFM-02373
DG,1.3072591,ZFM-02373
LP,1.366651,ZFM-02373
PO,1.4039278,ZFM-02373
PPC,1.3840979,ZFM-02373
CA1,1.4871631,DY_010
DG,1.1878288,DY_010
LP,1.5045009,DY_010
PO,1.5849986,DY_010
PPC,1.873255,DY_010
CA1,1.147768,DY_009
DG,0.9160855,DY_009
LP,1.300636,DY_009
PO,,DY_009
PPC,,DY_009
CA1,1.3554591,ZFM-02370
DG,,ZFM-02370
LP,,ZFM-02370
PO,1.7975777,ZFM-02370
PPC,1.3864858,ZFM-02370
CA1,1.2015536,SWC_038
DG,1.1492878,SWC_038
LP,1.1827887,SWC_038
PO,,SWC_038
PPC,1.1918094,SWC_038
CA1,1.5003681,DY_020
DG,1.0984206,DY_020
LP,,DY_020
PO,,DY_020
PPC,1.4205022,DY_020
CA1,1.3662722,NYU-37
DG,1.0887872,NYU-37
LP,1.6726893,NYU-37
PO,,NYU-37
PPC,,NYU-37
CA1,1.8882391,NYU-29
DG,1.7126131,NYU-29
LP,2.3259387,NYU-29
PO,2.2445517,NYU-29
PPC,2.1408126,NYU-29
CA1,2.8605075,CSHL052
DG,1.9673092,CSHL052
LP,3.9525151,CSHL052
PO,4.081946,CSHL052
PPC,3.9808264,CSHL052
CA1,1.4608684,NYU-47
DG,1.2560822,NYU-47
LP,1.8230059,NYU-47
PO,,NYU-47
PPC,,NYU-47
CA1,1.4809029,SWC_042
DG,1.4558258,SWC_042
LP,1.613741,SWC_042
PO,,SWC_042
PPC,1.2508485,SWC_042
CA1,1.4802094,SWC_058
DG,1.2764324,SWC_058
LP,1.5246736,SWC_058
PO,,SWC_058
PPC,1.5792284,SWC_058
CA1,1.2694303,ZM_3001
DG,1.1464971,ZM_3001
LP,1.9194014,ZM_3001
PO,1.9046257,ZM_3001
PPC,1.270194,ZM_3001
CA1,0.90791774,ibl_witten_25
DG,0.8880526,ibl_witten_25
LP,0.93501264,ibl_witten_25
PO,0.92692006,ibl_witten_25
PPC,1.4005471,ibl_witten_25
CA1,2.071356,ZFM-02372
DG,1.567375,ZFM-02372
LP,2.121014,ZFM-02372
PO,2.5186062,ZFM-02372
PPC,2.6737037,ZFM-02372
CA1,1.2352403,KS023
DG,1.0969375,KS023
LP,1.5381725,KS023
PO,1.686692,KS023
PPC,1.7159302,KS023
CA1,1.3196285,ZFM-01936
DG,1.4240878,ZFM-01936
LP,2.081194,ZFM-01936
PO,2.1789265,ZFM-01936
PPC,1.471389,ZFM-01936
CA1,1.6430892,CSH_ZAD_019
DG,1.397944,CSH_ZAD_019
LP,,CSH_ZAD_019
PO,,CSH_ZAD_019
PPC,2.638112,CSH_ZAD_019
CA1,1.5674244,DY_016
DG,1.2698338,DY_016
LP,1.5665274,DY_016
PO,1.599233,DY_016
PPC,1.9061255,DY_016
