,pid,eid,probe,lab,subject,region,date,n_channels,neuron_yield,median_firing_rate,mean_firing_rate,spike_amp_mean,spike_amp_90,pt_ratio,rp_slope,lfp_power_low,lfp_power_high,lfp_band_low,lfp_band_high,rms_ap,rms_ap_p90
1,ce397420-3cd2-4a55-8fd1-5e28321981f4,56b57c38-2699-4091-90a8-aba35103155e,probe01,mrsicflogellab,SWC_054,PPC,2020-10-05,46,39.0,0.40741528156864115,0.9762309495069846,218.88406587373808,,0.40012379547850063,35.93998033050853,-142.86113,-184.58458,"[2, 15]","[20, 80]",14.433041,19.2
2,ce397420-3cd2-4a55-8fd1-5e28321981f4,56b57c38-2699-4091-90a8-aba35103155e,probe01,mrsicflogellab,SWC_054,CA1,2020-10-05,56,10.0,1.278926516390503,1.6824488274201168,234.72031630210031,416.0689279396899,0.2613470338938623,57.111373935935326,-129.35605,-166.22807,"[2, 15]","[20, 80]",18.562317,19.2
3,ce397420-3cd2-4a55-8fd1-5e28321981f4,56b57c38-2699-4091-90a8-aba35103155e,probe01,mrsicflogellab,SWC_054,DG,2020-10-05,70,8.0,5.3696060937992005,5.6791768249490495,211.8653155877192,355.963563012295,0.40297505589072147,45.02105930595984,-123.27786,-155.58247,"[2, 15]","[20, 80]",25.961346,19.2
4,ce397420-3cd2-4a55-8fd1-5e28321981f4,56b57c38-2699-4091-90a8-aba35103155e,probe01,mrsicflogellab,SWC_054,LP,2020-10-05,56,46.0,3.873383265874941,4.199186683518364,182.29677479450135,,0.4376496624784997,24.811280228967487,-138.1233,-176.04083,"[2, 15]","[20, 80]",19.17793,19.2
5,ce397420-3cd2-4a55-8fd1-5e28321981f4,56b57c38-2699-4091-90a8-aba35103155e,probe01,mrsicflogellab,SWC_054,PO,2020-10-05,46,38.0,3.9060695279479063,4.275888842791583,201.3261682410259,330.7304370287122,0.4337889584071496,26.62812041174785,-141.1532,-180.62053,"[2, 15]","[20, 80]",20.00441,19.2
6,f4bd76a6-66c9-41f3-9311-6962315f8fc8,72cb5550-43b4-4ef0-add5-e4adfdfb5e02,probe00,mainenlab,ZFM-02369,PPC,2021-05-19,42,1.0,10.649749453606706,10.649749453606706,201.57340116279056,201.57340116279056,0.4624891971974447,20.88662790697677,-146.48326,-179.61028,"[2, 15]","[20, 80]",20.400988,21.5
7,f4bd76a6-66c9-41f3-9311-6962315f8fc8,72cb5550-43b4-4ef0-add5-e4adfdfb5e02,probe00,mainenlab,ZFM-02369,CA1,2021-05-19,56,1.0,3.028052098620713,3.028052098620713,120.57845744680853,120.57845744680853,0.3693377625227041,,-123.2643,-157.08482,"[2, 15]","[20, 80]",20.497694,21.5
8,f4bd76a6-66c9-41f3-9311-6962315f8fc8,72cb5550-43b4-4ef0-add5-e4adfdfb5e02,probe00,mainenlab,ZFM-02369,DG,2021-05-19,52,8.0,1.2528051855169104,2.825661039067669,134.57604817175968,,0.5631370653718234,19.480200514782325,-124.244995,-152.49742,"[2, 15]","[20, 80]",26.150482,21.5
9,f4bd76a6-66c9-41f3-9311-6962315f8fc8,72cb5550-43b4-4ef0-add5-e4adfdfb5e02,probe00,mainenlab,ZFM-02369,LP,2021-05-19,60,28.0,5.715761281575643,5.7455262439466654,228.1940781612178,331.1104487433488,0.46317240148251837,30.151571225337086,-139.50282,-170.04773,"[2, 15]","[20, 80]",22.431854,21.5
10,f4bd76a6-66c9-41f3-9311-6962315f8fc8,72cb5550-43b4-4ef0-add5-e4adfdfb5e02,probe00,mainenlab,ZFM-02369,PO,2021-05-19,94,57.0,5.3407778655876434,5.873277492829496,253.03767272361142,409.4229028464202,0.4796614525824327,31.797342859944848,-142.09474,-172.57938,"[2, 15]","[20, 80]",25.530918,21.5
