insertion,passing_units,num_sites,passing_per_site,source
756781561,12,127,0.09448818897637795,Allen
757904510,24,126,0.19047619047619047,Allen
757904520,33,145,0.22758620689655173,Allen
757904522,12,129,0.09302325581395349,Allen
757904554,38,145,0.2620689655172414,Allen
757984818,21,123,0.17073170731707318,Allen
757984826,16,124,0.12903225806451613,Allen
757984830,12,129,0.09302325581395349,Allen
760213142,3,130,0.023076923076923078,Allen
760213150,23,137,0.1678832116788321,Allen
760640037,26,127,0.2047244094488189,Allen
760640039,46,149,0.3087248322147651,Allen
760640043,44,135,0.32592592592592595,Allen
760640049,15,126,0.11904761904761904,Allen
760640087,20,108,0.18518518518518517,Allen
760640097,24,132,0.18181818181818182,Allen
760647913,19,114,0.16666666666666666,Allen
768908582,26,121,0.21487603305785125,Allen
768908585,61,130,0.46923076923076923,Allen
768908589,62,132,0.4696969696969697,Allen
769322747,20,127,0.15748031496062992,Allen
769322751,65,172,0.37790697674418605,Allen
769322753,21,108,0.19444444444444445,Allen
769322797,48,152,0.3157894736842105,Allen
769322860,16,129,0.12403100775193798,Allen
769325781,6,129,0.046511627906976744,Allen
769326329,4,136,0.029411764705882353,Allen
770930077,68,156,0.4358974358974359,Allen
773462990,14,123,0.11382113821138211,Allen
773462997,58,172,0.3372093023255814,Allen
773463015,11,125,0.088,Allen
773463017,60,129,0.46511627906976744,Allen
773463023,81,159,0.5094339622641509,Allen
773592320,72,131,0.549618320610687,Allen
773592328,39,132,0.29545454545454547,Allen
773621948,58,151,0.3841059602649007,Allen
792586887,52,125,0.416,Allen
792607547,42,121,0.34710743801652894,Allen
792607557,45,146,0.3082191780821918,Allen
792607559,18,132,0.13636363636363635,Allen
792626853,48,165,0.2909090909090909,Allen
792626855,5,122,0.040983606557377046,Allen
792645501,50,144,0.3472222222222222,Allen
792676162,56,169,0.33136094674556216,Allen
800036206,16,129,0.12403100775193798,Allen
805002027,30,151,0.1986754966887417,Allen
805008608,44,157,0.2802547770700637,Allen
805008610,43,159,0.27044025157232704,Allen
805124804,26,133,0.19548872180451127,Allen
805579710,38,150,0.25333333333333335,Allen
805579713,14,157,0.08917197452229299,Allen
805579749,28,156,0.1794871794871795,Allen
805579753,22,169,0.1301775147928994,Allen
810753203,58,149,0.38926174496644295,Allen
810755801,62,138,0.4492753623188406,Allen
810755803,52,146,0.3561643835616438,Allen
810755805,43,130,0.33076923076923076,Allen
810758785,38,151,0.25165562913907286,Allen
820311762,34,141,0.24113475177304963,Allen
820311764,55,132,0.4166666666666667,Allen
836943721,19,114,0.16666666666666666,Allen
836962824,34,127,0.2677165354330709,Allen
841431758,80,161,0.4968944099378882,Allen
848037578,63,130,0.4846153846153846,Allen
868297127,36,132,0.2727272727272727,Allen
868297131,96,161,0.5962732919254659,Allen
