insertion,passing_units,lab,num_sites,passing_per_site,source
071f02e7-752a-4094-af79-8dd764e9d85d,7,mainenlab,116,0.0603448275862069,IBL
0a0184b3-9e1a-4c36-98f4-00ae3beb8f01,79,cortexlab,234,0.33760683760683763,IBL
12c0f3a9-518e-4dac-9651-5d95c2b4730f,50,steinmetzlab,222,0.22522522522522523,IBL
188fe7d5-fd1c-494f-88bc-672d77b9779e,10,churchlandlab,142,0.07042253521126761,IBL
18be19f9-6ca5-4fc8-9220-ba43c3e75905,1,angelakilab,72,0.013888888888888888,IBL
18d316bf-d322-4c5c-814e-a58147f7bf5f,45,steinmetzlab,226,0.19911504424778761,IBL
1a60a6e1-da99-4d4e-a734-39b1d4544fad,15,angelakilab,132,0.11363636363636363,IBL
1f5d62cb-814f-4ab2-b6af-7557ea04d56a,34,mainenlab,74,0.4594594594594595,IBL
29418b18-4db6-436f-a85e-b0f1d38d2e62,103,churchlandlab_ucla,126,0.8174603174603174,IBL
38124fca-a0ac-4b58-8e8b-84a2357850e6,33,mainenlab,146,0.22602739726027396,IBL
461ecb39-ab58-4a6c-acd7-22da5b4b4b22,1,churchlandlab,184,0.005434782608695652,IBL
531423f6-d36d-472b-8234-c8f7b8293f79,8,churchlandlab,108,0.07407407407407407,IBL
56f2a378-78d2-4132-b3c8-8c1ba82be598,7,angelakilab,134,0.05223880597014925,IBL
625a7bc9-00cf-44f6-a508-3ed89d23ba3a,125,cortexlab,252,0.49603174603174605,IBL
6e61f777-90b9-4656-af30-9ed54d426c5a,0,churchlandlab_ucla,44,0.0,IBL
6fc4d73c-2071-43ec-a756-c6c6d8322c8b,4,hoferlab,148,0.02702702702702703,IBL
77121d92-6dde-4243-ab54-0a99efa22e99,0,hausserlab,40,0.0,IBL
7a620688-66cb-44d3-b79b-ccac1c8ba23e,23,churchlandlab_ucla,124,0.18548387096774194,IBL
7be00744-2e27-4062-8f56-3969e24e9990,16,mainenlab,90,0.17777777777777778,IBL
82765a73-2a03-42ca-ba98-194247caa62e,14,cortexlab,134,0.1044776119402985,IBL
84fd7fa3-6c2d-4233-b265-46a427d3d68d,3,wittenlab,116,0.02586206896551724,IBL
85bdeae3-269b-4e39-bd9b-2b0d95aff2fa,90,angelakilab,218,0.41284403669724773,IBL
8ca1a850-26ef-42be-8b28-c2e2d12f06d6,13,zadorlab,116,0.11206896551724138,IBL
96c816ad-9a48-46a4-8a84-9a73cc153d69,0,steinmetzlab,14,0.0,IBL
ad714133-1e03-4d3a-8427-33fc483daf1a,18,cortexlab,140,0.12857142857142856,IBL
b976e816-bc24-42e3-adf4-2801f1a52657,19,steinmetzlab,312,0.060897435897435896,IBL
bbe6ebc1-d32f-42dd-a89c-211226737deb,8,cortexlab,116,0.06896551724137931,IBL
c17772a9-21b5-49df-ab31-3017addea12e,6,hoferlab,148,0.04054054054054054,IBL
c2363000-27a6-461e-940b-15f681496ed8,6,danlab,94,0.06382978723404255,IBL
c5b9e063-f640-4936-b851-f7602cb6659b,32,hausserlab,152,0.21052631578947367,IBL
ccb501d1-a4fa-41c6-819e-54aaf74d439d,6,danlab,128,0.046875,IBL
ce0dc660-f19e-46a3-94f9-646bebae6805,82,angelakilab,202,0.40594059405940597,IBL
ce397420-3cd2-4a55-8fd1-5e28321981f4,14,mrsicflogellab,126,0.1111111111111111,IBL
d151b391-e6e4-4daf-bd9c-191f4ad837b4,3,hoferlab,164,0.018292682926829267,IBL
dab512bd-a02d-4c1f-8dbc-9155a163efc0,20,danlab,122,0.16393442622950818,IBL
dd75e810-a399-4364-9d4a-517312cf3010,20,churchlandlab_ucla,138,0.14492753623188406,IBL
df07180e-268e-489c-826e-40cb6f63d3a5,10,churchlandlab,38,0.2631578947368421,IBL
e45a00b1-14a0-4f5e-9ea5-9f76d042b11c,1,angelakilab,120,0.008333333333333333,IBL
e8901184-9f60-4309-bee5-c3c95030550a,3,hausserlab,24,0.125,IBL
f698f893-da01-49a1-ae4b-16f7e42e5ff5,49,wittenlab,274,0.17883211678832117,IBL
fa539f97-a078-4fc6-9a12-237799466d9c,6,cortexlab,118,0.05084745762711865,IBL
