insertion,passing_units,lab,num_sites,passing_per_site,source
00a824c0-e060-495f-9ebc-79c82fef4c67,25,churchlandlab,150,0.16666666666666666,IBL
071f02e7-752a-4094-af79-8dd764e9d85d,7,mainenlab,88,0.07954545454545454,IBL
07abb39b-063b-4ef8-b3ab-963c6a1b5cc5,0,danlab,34,0.0,IBL
0a0184b3-9e1a-4c36-98f4-00ae3beb8f01,21,cortexlab,132,0.1590909090909091,IBL
12c0f3a9-518e-4dac-9651-5d95c2b4730f,12,steinmetzlab,140,0.08571428571428572,IBL
188fe7d5-fd1c-494f-88bc-672d77b9779e,22,churchlandlab,92,0.2391304347826087,IBL
18d316bf-d322-4c5c-814e-a58147f7bf5f,7,steinmetzlab,128,0.0546875,IBL
1a60a6e1-da99-4d4e-a734-39b1d4544fad,10,angelakilab,72,0.1388888888888889,IBL
1f5d62cb-814f-4ab2-b6af-7557ea04d56a,27,mainenlab,92,0.29347826086956524,IBL
20469b30-1cd8-4078-9883-a840a0f6d787,26,wittenlab,242,0.10743801652892562,IBL
2564dc27-4eda-4fc3-a151-c13475796ee1,144,churchlandlab,148,0.972972972972973,IBL
29418b18-4db6-436f-a85e-b0f1d38d2e62,51,churchlandlab_ucla,132,0.38636363636363635,IBL
2b3c3126-11f3-4a8e-aa44-2f965bf8ab9c,27,mrsicflogellab,136,0.19852941176470587,IBL
2c401cbd-b95c-4ebe-8a83-92b55ab49542,39,cortexlab,258,0.1511627906976744,IBL
310c60b6-d68f-4018-a86a-3668ce296837,121,steinmetzlab,202,0.599009900990099,IBL
3282a590-8688-44fc-9811-cdf8b80d9a80,67,cortexlab,320,0.209375,IBL
38124fca-a0ac-4b58-8e8b-84a2357850e6,33,mainenlab,56,0.5892857142857143,IBL
43436b4b-0431-407f-b83d-d657ec22b5c6,40,zadorlab,112,0.35714285714285715,IBL
45e7731f-4a43-45d5-9029-c080150bc596,105,cortexlab,208,0.5048076923076923,IBL
46630957-63fd-4d0d-a2ba-8766f0796db8,9,wittenlab,36,0.25,IBL
49a86b2e-3db4-42f2-8da8-7ebb7e482c70,99,cortexlab,334,0.2964071856287425,IBL
5011eba9-8926-4a73-b729-579d02676d25,53,zadorlab,158,0.33544303797468356,IBL
531423f6-d36d-472b-8234-c8f7b8293f79,23,churchlandlab,72,0.3194444444444444,IBL
56f2a378-78d2-4132-b3c8-8c1ba82be598,1,angelakilab,102,0.00980392156862745,IBL
5a34d971-1cb3-4f0e-8dfe-e51e2313a668,238,mainenlab,266,0.8947368421052632,IBL
625a7bc9-00cf-44f6-a508-3ed89d23ba3a,35,cortexlab,112,0.3125,IBL
62a97aee-9f8b-40be-9ea7-f785ede30df8,126,churchlandlab,236,0.5338983050847458,IBL
6ad5a0a6-362a-4aec-8743-2e91469b0b62,114,churchlandlab_ucla,220,0.5181818181818182,IBL
6fc4d73c-2071-43ec-a756-c6c6d8322c8b,0,hoferlab,68,0.0,IBL
749cb2b7-e57e-4453-a794-f6230e4d0226,108,mrsicflogellab,274,0.39416058394160586,IBL
79b2e46e-e2ee-446e-b875-9aff03ef52d2,42,zadorlab,154,0.2727272727272727,IBL
79fbd14b-bfad-4b28-90a9-3019bf72336f,13,angelakilab,148,0.08783783783783784,IBL
7a620688-66cb-44d3-b79b-ccac1c8ba23e,26,churchlandlab_ucla,72,0.3611111111111111,IBL
