insertion,passing_units,lab,num_sites,passing_per_site,source
0851db85-2889-4070-ac18-a40e8ebd96ba,17,wittenlab,74,0.22972972972972974,IBL
0b8ea3ec-e75b-41a1-9442-64f5fbc11a5a,100,mainenlab,156,0.6410256410256411,IBL
11a5a93e-58a9-4ed0-995e-52279ec16b98,76,wittenlab,170,0.4470588235294118,IBL
143dd7cf-6a47-47a1-906d-927ad7fe9117,67,mrsicflogellab,144,0.4652777777777778,IBL
16799c7a-e395-435d-a4c4-a678007e1550,45,cortexlab,170,0.2647058823529412,IBL
17d9710a-f292-4226-b033-687d54b6545a,40,cortexlab,158,0.25316455696202533,IBL
19baa84c-22a5-4589-9cbd-c23f111c054c,2,hoferlab,148,0.013513513513513514,IBL
1a60a6e1-da99-4d4e-a734-39b1d4544fad,74,angelakilab,164,0.45121951219512196,IBL
1e176f17-d00f-49bb-87ff-26d237b525f1,24,angelakilab,158,0.1518987341772152,IBL
22212d26-a167-45fb-9963-35ecd003e8a2,42,cortexlab,140,0.3,IBL
31f3e083-a324-4b88-b0a4-7788ec37b191,24,angelakilab,132,0.18181818181818182,IBL
36362f75-96d8-4ed4-a728-5e72284d0995,92,mainenlab,172,0.5348837209302325,IBL
3d3d5a5e-df26-43ee-80b6-2d72d85668a5,18,churchlandlab_ucla,60,0.3,IBL
4b93a168-0f3b-4124-88fa-a57046ca70e1,22,mrsicflogellab,144,0.1527777777777778,IBL
523f8301-4f56-4faf-ab33-a9ff11331118,82,mainenlab,192,0.4270833333333333,IBL
63517fd4-ece1-49eb-9259-371dc30b1dd6,68,danlab,190,0.35789473684210527,IBL
69f42a9c-095d-4a25-bca8-61a9869871d3,39,churchlandlab,136,0.2867647058823529,IBL
6b6af675-e1ef-43a6-b408-95cfc71fe2cc,64,cortexlab,124,0.5161290322580645,IBL
6e1379e8-3af0-4fc5-8ba8-37d3bb02226b,90,angelakilab,170,0.5294117647058824,IBL
6fc4d73c-2071-43ec-a756-c6c6d8322c8b,41,hoferlab,148,0.27702702702702703,IBL
70da415f-444d-4148-ade7-a1f58a16fcf8,49,cortexlab,168,0.2916666666666667,IBL
730770d6-617a-4ada-95db-a48521befda5,51,churchlandlab_ucla,142,0.3591549295774648,IBL
7a620688-66cb-44d3-b79b-ccac1c8ba23e,33,churchlandlab_ucla,182,0.1813186813186813,IBL
7cbecb3f-6a8a-48e5-a3be-8f7a762b5a04,34,angelakilab,74,0.4594594594594595,IBL
7d999a68-0215-4e45-8e6c-879c6ca2b771,69,mainenlab,138,0.5,IBL
80f6ffdd-f692-450f-ab19-cd6d45bfd73e,35,churchlandlab_ucla,78,0.44871794871794873,IBL
84bb830f-b9ff-4e6b-9296-f458fb41d160,102,mainenlab,182,0.5604395604395604,IBL
84fd7fa3-6c2d-4233-b265-46a427d3d68d,63,wittenlab,130,0.4846153846153846,IBL
8b7c808f-763b-44c8-b273-63c6afbc6aae,4,mrsicflogellab,42,0.09523809523809523,IBL
8c732bf2-639d-496c-bf82-464bc9c2d54b,162,churchlandlab_ucla,178,0.9101123595505618,IBL
8ca1a850-26ef-42be-8b28-c2e2d12f06d6,66,zadorlab,134,0.4925373134328358,IBL
8d59da25-3a9c-44be-8b1a-e27cdd39ca34,30,churchlandlab,126,0.23809523809523808,IBL
9117969a-3f0d-478b-ad75-98263e3bfacf,64,danlab,152,0.42105263157894735,IBL
92033a0c-5a14-471b-b131-d43c72ca5d7a,42,steinmetzlab,186,0.22580645161290322,IBL
a12c8ae8-d5ad-4d15-b805-436ad23e5ad1,31,wittenlab,160,0.19375,IBL
ad714133-1e03-4d3a-8427-33fc483daf1a,70,cortexlab,152,0.4605263157894737,IBL
b25799a5-09e8-4656-9c1b-44bc9cbb5279,81,wittenlab,182,0.44505494505494503,IBL
b749446c-18e3-4987-820a-50649ab0f826,31,cortexlab,162,0.19135802469135801,IBL
bbe6ebc1-d32f-42dd-a89c-211226737deb,29,cortexlab,160,0.18125,IBL
bc1602ba-dd6c-4ae4-bcb2-4925e7c8632a,72,mainenlab,194,0.3711340206185567,IBL
bf96f6d6-4726-4cfa-804a-bca8f9262721,18,angelakilab,110,0.16363636363636364,IBL
c07d13ed-e387-4457-8e33-1d16aed3fd92,36,churchlandlab_ucla,152,0.23684210526315788,IBL
c17772a9-21b5-49df-ab31-3017addea12e,100,hoferlab,166,0.6024096385542169,IBL
c4f6665f-8be5-476b-a6e8-d81eeae9279d,0,danlab,30,0.0,IBL
ce397420-3cd2-4a55-8fd1-5e28321981f4,99,mrsicflogellab,182,0.5439560439560439,IBL
dab512bd-a02d-4c1f-8dbc-9155a163efc0,54,danlab,196,0.2755102040816326,IBL
e31b4e39-e350-47a9-aca4-72496d99ff2a,135,mainenlab,198,0.6818181818181818,IBL
e49f221d-399d-4297-bb7d-2d23cc0e4acc,64,cortexlab,134,0.47761194029850745,IBL
ee3345e6-540d-4cea-9e4a-7f1b2fb9a4e4,13,churchlandlab_ucla,32,0.40625,IBL
eeb27b45-5b85-4e5c-b6ff-f639ca5687de,56,churchlandlab,120,0.4666666666666667,IBL
f03b61b4-6b13-479d-940f-d1608eb275cc,78,mainenlab,166,0.46987951807228917,IBL
f26a6ab1-7e37-4f8d-bb50-295c056e1062,41,danlab,170,0.2411764705882353,IBL
f2a098e7-a67e-4125-92d8-36fc6b606c45,3,cortexlab,136,0.022058823529411766,IBL
f4bd76a6-66c9-41f3-9311-6962315f8fc8,79,mainenlab,186,0.42473118279569894,IBL
f86e9571-63ff-4116-9c40-aa44d57d2da9,2,churchlandlab,78,0.02564102564102564,IBL
f93bfce4-e814-4ae3-9cdf-59f4dcdedf51,58,angelakilab,176,0.32954545454545453,IBL
f9d8aacd-b2a0-49f2-bd71-c2f5aadcfdd1,29,churchlandlab_ucla,76,0.3815789473684211,IBL
febb430e-2d50-4f83-87a0-b5ffbb9a4943,46,danlab,132,0.3484848484848485,IBL
