insertion,passing_units,num_sites,passing_per_site,source
Cori_2016-12-14_ephys_V1,76,180,0.4222222222222222,Steinmetz
Cori_2016-12-17_ephys_LM,44,94,0.46808510638297873,Steinmetz
Cori_2016-12-17_ephys_PM,40,110,0.36363636363636365,Steinmetz
Cori_2016-12-18_ephys_AM,42,100,0.42,Steinmetz
Cori_2016-12-18_ephys_V1,24,70,0.34285714285714286,Steinmetz
Forssmann_2017-11-01_ephys_K1,32,134,0.23880597014925373,Steinmetz
Forssmann_2017-11-01_ephys_K2,33,140,0.2357142857142857,Steinmetz
Forssmann_2017-11-02_ephys_K1,6,60,0.1,Steinmetz
Forssmann_2017-11-02_ephys_K2,3,114,0.02631578947368421,Steinmetz
Forssmann_2017-11-04_ephys_K2,10,90,0.1111111111111111,Steinmetz
Forssmann_2017-11-05_ephys_K1,17,74,0.22972972972972974,Steinmetz
Hench_2017-06-15_ephys_K2,14,150,0.09333333333333334,Steinmetz
Hench_2017-06-15_ephys_K3,17,86,0.19767441860465115,Steinmetz
Hench_2017-06-16_ephys_K2,49,160,0.30625,Steinmetz
Hench_2017-06-16_ephys_K3,5,116,0.04310344827586207,Steinmetz
Hench_2017-06-17_ephys_K1,9,24,0.375,Steinmetz
Hench_2017-06-17_ephys_K2,27,124,0.21774193548387097,Steinmetz
Lederberg_2017-12-05_ephys_K1,38,200,0.19,Steinmetz
Lederberg_2017-12-05_ephys_K3,23,124,0.18548387096774194,Steinmetz
Lederberg_2017-12-06_ephys_K1,16,140,0.11428571428571428,Steinmetz
Lederberg_2017-12-07_ephys_K3,15,140,0.10714285714285714,Steinmetz
Lederberg_2017-12-08_ephys_K3,2,24,0.08333333333333333,Steinmetz
Lederberg_2017-12-09_ephys_K3,4,24,0.16666666666666666,Steinmetz
Lederberg_2017-12-11_ephys_K3,2,40,0.05,Steinmetz
Moniz_2017-05-15_ephys_AM,17,114,0.14912280701754385,Steinmetz
Moniz_2017-05-15_ephys_PM,18,50,0.36,Steinmetz
Moniz_2017-05-16_ephys_A,11,120,0.09166666666666666,Steinmetz
Moniz_2017-05-16_ephys_V1,32,104,0.3076923076923077,Steinmetz
Muller_2017-01-08_ephys_AM,39,78,0.5,Steinmetz
Muller_2017-01-09_ephys_LM,12,240,0.05,Steinmetz
Radnitz_2017-01-10_ephys_AM,26,82,0.3170731707317073,Steinmetz
Radnitz_2017-01-11_ephys_RSP,18,76,0.23684210526315788,Steinmetz
Richards_2017-10-29_ephys_K1,30,120,0.25,Steinmetz
Richards_2017-10-29_ephys_K2,18,170,0.10588235294117647,Steinmetz
Richards_2017-10-30_ephys_K2,9,84,0.10714285714285714,Steinmetz
Richards_2017-11-01_ephys_K3,3,74,0.04054054054054054,Steinmetz
Tatum_2017-12-06_ephys_K2,15,150,0.1,Steinmetz
Tatum_2017-12-07_ephys_K1,14,114,0.12280701754385964,Steinmetz
Tatum_2017-12-09_ephys_K3,20,34,0.5882352941176471,Steinmetz
Theiler_2017-10-11_ephys_K1,29,100,0.29,Steinmetz
Theiler_2017-10-11_ephys_K2,90,134,0.6716417910447762,Steinmetz
