insertion,passing_units,num_sites,passing_per_site,source
Cori_2016-12-14_ephys_M2,118,190,0.6210526315789474,Steinmetz
Cori_2016-12-14_ephys_V1,100,110,0.9090909090909091,Steinmetz
Cori_2016-12-17_ephys_LM,86,110,0.7818181818181819,Steinmetz
Cori_2016-12-17_ephys_PM,72,120,0.6,Steinmetz
Cori_2016-12-18_ephys_AM,67,90,0.7444444444444445,Steinmetz
Cori_2016-12-18_ephys_V1,44,90,0.4888888888888889,Steinmetz
Forssmann_2017-11-01_ephys_K1,9,100,0.09,Steinmetz
Forssmann_2017-11-01_ephys_K2,14,104,0.1346153846153846,Steinmetz
Forssmann_2017-11-01_ephys_K3,94,214,0.4392523364485981,Steinmetz
Forssmann_2017-11-02_ephys_K1,23,64,0.359375,Steinmetz
Forssmann_2017-11-02_ephys_K3,40,270,0.14814814814814814,Steinmetz
Forssmann_2017-11-04_ephys_K1,25,244,0.10245901639344263,Steinmetz
Forssmann_2017-11-05_ephys_K3,10,34,0.29411764705882354,Steinmetz
Hench_2017-06-15_ephys_K1,277,230,1.2043478260869565,Steinmetz
Hench_2017-06-15_ephys_K2,22,60,0.36666666666666664,Steinmetz
Hench_2017-06-15_ephys_K3,8,84,0.09523809523809523,Steinmetz
Hench_2017-06-16_ephys_K1,84,200,0.42,Steinmetz
Hench_2017-06-16_ephys_K2,28,90,0.3111111111111111,Steinmetz
Hench_2017-06-16_ephys_K3,15,90,0.16666666666666666,Steinmetz
Hench_2017-06-17_ephys_K1,35,86,0.4069767441860465,Steinmetz
Hench_2017-06-17_ephys_K2,33,90,0.36666666666666664,Steinmetz
Hench_2017-06-17_ephys_K3,13,90,0.14444444444444443,Steinmetz
Hench_2017-06-18_ephys_K1,97,114,0.8508771929824561,Steinmetz
Hench_2017-06-18_ephys_K2,28,110,0.2545454545454545,Steinmetz
Hench_2017-06-18_ephys_K3,72,170,0.4235294117647059,Steinmetz
Lederberg_2017-12-05_ephys_K1,39,110,0.35454545454545455,Steinmetz
Lederberg_2017-12-05_ephys_K2,32,210,0.1523809523809524,Steinmetz
Lederberg_2017-12-05_ephys_K3,57,90,0.6333333333333333,Steinmetz
Lederberg_2017-12-06_ephys_K1,22,100,0.22,Steinmetz
Lederberg_2017-12-06_ephys_K3,205,220,0.9318181818181818,Steinmetz
Lederberg_2017-12-07_ephys_K1,118,200,0.59,Steinmetz
Lederberg_2017-12-07_ephys_K2,5,120,0.041666666666666664,Steinmetz
Lederberg_2017-12-07_ephys_K3,16,150,0.10666666666666667,Steinmetz
Lederberg_2017-12-09_ephys_K2,16,250,0.064,Steinmetz
Moniz_2017-05-15_ephys_AM,55,80,0.6875,Steinmetz
Moniz_2017-05-15_ephys_PM,19,84,0.2261904761904762,Steinmetz
Moniz_2017-05-16_ephys_A,30,86,0.3488372093023256,Steinmetz
Moniz_2017-05-16_ephys_V1,38,94,0.40425531914893614,Steinmetz
Moniz_2017-05-18_ephys_M1,108,116,0.9310344827586207,Steinmetz
Moniz_2017-05-18_ephys_S1,133,134,0.9925373134328358,Steinmetz
Muller_2017-01-07_ephys_M2,82,204,0.4019607843137255,Steinmetz
Muller_2017-01-07_ephys_V1,58,104,0.5576923076923077,Steinmetz
Muller_2017-01-08_ephys_AM,73,106,0.6886792452830188,Steinmetz
Muller_2017-01-09_ephys_LM,19,100,0.19,Steinmetz
Muller_2017-01-09_ephys_PM,60,160,0.375,Steinmetz
Radnitz_2017-01-08_ephys_M2,190,264,0.7196969696969697,Steinmetz
Radnitz_2017-01-08_ephys_V1,6,114,0.05263157894736842,Steinmetz
Radnitz_2017-01-09_ephys_M2,19,114,0.16666666666666666,Steinmetz
Radnitz_2017-01-09_ephys_V1,20,80,0.25,Steinmetz
Radnitz_2017-01-10_ephys_AM,59,96,0.6145833333333334,Steinmetz
Radnitz_2017-01-10_ephys_M2,114,210,0.5428571428571428,Steinmetz
Radnitz_2017-01-11_ephys_PM,55,104,0.5288461538461539,Steinmetz
Radnitz_2017-01-11_ephys_RSP,51,90,0.5666666666666667,Steinmetz
Radnitz_2017-01-12_ephys_M1,84,144,0.5833333333333334,Steinmetz
Radnitz_2017-01-12_ephys_S1,92,166,0.5542168674698795,Steinmetz
Richards_2017-10-29_ephys_K1,22,104,0.21153846153846154,Steinmetz
Richards_2017-10-29_ephys_K2,7,94,0.07446808510638298,Steinmetz
Richards_2017-10-29_ephys_K3,21,100,0.21,Steinmetz
Richards_2017-10-30_ephys_K3,168,210,0.8,Steinmetz
Richards_2017-10-31_ephys_K1,61,200,0.305,Steinmetz
Richards_2017-10-31_ephys_K3,14,64,0.21875,Steinmetz
Tatum_2017-12-06_ephys_K1,18,120,0.15,Steinmetz
Tatum_2017-12-06_ephys_K2,41,100,0.41,Steinmetz
Tatum_2017-12-06_ephys_K3,28,140,0.2,Steinmetz
Tatum_2017-12-07_ephys_K1,16,120,0.13333333333333333,Steinmetz
Tatum_2017-12-07_ephys_K3,17,244,0.06967213114754098,Steinmetz
Tatum_2017-12-08_ephys_K1,135,230,0.5869565217391305,Steinmetz
Tatum_2017-12-08_ephys_K2,6,84,0.07142857142857142,Steinmetz
Tatum_2017-12-08_ephys_K3,22,90,0.24444444444444444,Steinmetz
Theiler_2017-10-11_ephys_K1,1,114,0.008771929824561403,Steinmetz
Theiler_2017-10-11_ephys_K2,14,90,0.15555555555555556,Steinmetz
Theiler_2017-10-11_ephys_K3,132,260,0.5076923076923077,Steinmetz
