insertion,passing_units,num_sites,passing_per_site,source
Cori_2016-12-18_ephys_AM,65,124,0.5241935483870968,Steinmetz
Forssmann_2017-11-01_ephys_K1,50,140,0.35714285714285715,Steinmetz
Forssmann_2017-11-01_ephys_K2,22,130,0.16923076923076924,Steinmetz
Forssmann_2017-11-04_ephys_K3,14,160,0.0875,Steinmetz
Forssmann_2017-11-05_ephys_K1,19,170,0.11176470588235295,Steinmetz
Hench_2017-06-15_ephys_K2,100,150,0.6666666666666666,Steinmetz
Hench_2017-06-15_ephys_K3,102,150,0.68,Steinmetz
Hench_2017-06-16_ephys_K2,5,120,0.041666666666666664,Steinmetz
Hench_2017-06-16_ephys_K3,85,144,0.5902777777777778,Steinmetz
Hench_2017-06-17_ephys_K2,10,80,0.125,Steinmetz
Hench_2017-06-18_ephys_K1,15,50,0.3,Steinmetz
Lederberg_2017-12-05_ephys_K1,7,50,0.14,Steinmetz
Lederberg_2017-12-05_ephys_K3,55,160,0.34375,Steinmetz
Lederberg_2017-12-06_ephys_K1,50,110,0.45454545454545453,Steinmetz
Lederberg_2017-12-08_ephys_K3,39,160,0.24375,Steinmetz
Lederberg_2017-12-09_ephys_K3,65,210,0.30952380952380953,Steinmetz
Lederberg_2017-12-10_ephys_K1,38,120,0.31666666666666665,Steinmetz
Lederberg_2017-12-11_ephys_K3,53,104,0.5096153846153846,Steinmetz
Moniz_2017-05-15_ephys_AM,18,96,0.1875,Steinmetz
Moniz_2017-05-16_ephys_A,55,154,0.35714285714285715,Steinmetz
Moniz_2017-05-16_ephys_V1,87,140,0.6214285714285714,Steinmetz
Moniz_2017-05-18_ephys_M1,73,110,0.6636363636363637,Steinmetz
Muller_2017-01-08_ephys_AM,101,124,0.8145161290322581,Steinmetz
Radnitz_2017-01-10_ephys_AM,100,140,0.7142857142857143,Steinmetz
Radnitz_2017-01-11_ephys_RSP,7,60,0.11666666666666667,Steinmetz
Richards_2017-10-29_ephys_K1,86,150,0.5733333333333334,Steinmetz
Richards_2017-10-29_ephys_K2,57,110,0.5181818181818182,Steinmetz
Richards_2017-10-30_ephys_K2,19,90,0.2111111111111111,Steinmetz
Richards_2017-11-01_ephys_K3,29,116,0.25,Steinmetz
Richards_2017-11-02_ephys_K1,4,100,0.04,Steinmetz
Richards_2017-11-02_ephys_K3,35,140,0.25,Steinmetz
Tatum_2017-12-06_ephys_K1,36,124,0.2903225806451613,Steinmetz
Tatum_2017-12-06_ephys_K2,52,124,0.41935483870967744,Steinmetz
Tatum_2017-12-09_ephys_K3,24,66,0.36363636363636365,Steinmetz
Theiler_2017-10-11_ephys_K2,22,56,0.39285714285714285,Steinmetz
