,index,pid,level
0,0,0b8ea3ec-e75b-41a1-9442-64f5fbc11a5a,2
1,1,44fc10b1-ec82-4f88-afbf-10a6f8a1b5d8,-1
2,2,e42e948c-3154-45cb-bf52-408b7cda0f2f,0
3,3,ce397420-3cd2-4a55-8fd1-5e28321981f4,2
4,4,e4ce2e94-6fb9-4afe-acbf-6f5a3498602e,0
5,5,b83407f8-8220-46f9-9b90-a4c9f150c572,0
6,6,92822789-608f-44a6-ad64-fe549402b2df,0
7,7,f4bd76a6-66c9-41f3-9311-6962315f8fc8,2
8,8,3d3d5a5e-df26-43ee-80b6-2d72d85668a5,2
9,9,e31b4e39-e350-47a9-aca4-72496d99ff2a,2
10,10,80624507-4be6-4689-92df-0e2c26c3faf3,-1
11,11,f8d0ecdc-b7bd-44cc-b887-3d544e24e561,-1
12,12,6fc4d73c-2071-43ec-a756-c6c6d8322c8b,2
13,13,4836a465-c691-4852-a0b1-dcd2b1ce38a1,0
14,14,1e176f17-d00f-49bb-87ff-26d237b525f1,2
15,15,16799c7a-e395-435d-a4c4-a678007e1550,2
16,16,b25799a5-09e8-4656-9c1b-44bc9cbb5279,2
17,17,d004f105-9886-4b83-a59a-f9173131a383,2
18,18,c17772a9-21b5-49df-ab31-3017addea12e,2
19,19,ef3d059a-59d5-4870-b355-563a8d7cfd2d,-1
20,20,0851db85-2889-4070-ac18-a40e8ebd96ba,2
21,21,eeb27b45-5b85-4e5c-b6ff-f639ca5687de,2
22,22,69f42a9c-095d-4a25-bca8-61a9869871d3,2
23,23,8c732bf2-639d-496c-bf82-464bc9c2d54b,2
24,24,f03b61b4-6b13-479d-940f-d1608eb275cc,2
25,25,b2746c16-7152-45a3-a7f0-477985638638,0
26,26,478de1ce-d7e7-4221-9365-2abdc6e88fb6,0
27,27,f86e9571-63ff-4116-9c40-aa44d57d2da9,0
28,28,31f3e083-a324-4b88-b0a4-7788ec37b191,2
29,29,f2ee886d-5b9c-4d06-a9be-ee7ae8381114,2
30,30,f26a6ab1-7e37-4f8d-bb50-295c056e1062,2
31,31,72f89097-4836-4b67-a47a-edb3285a6e83,-1
32,32,8f1d5aad-8c1f-4e81-869a-5a1ab1bf53b2,-1
33,33,f2a098e7-a67e-4125-92d8-36fc6b606c45,2
34,34,c4f6665f-8be5-476b-a6e8-d81eeae9279d,2
35,35,57656bee-e32e-4848-b924-0f6f18cfdfb1,0
36,36,ef03e569-2b50-4534-89f4-fb1e56e81461,-1
37,37,1a60a6e1-da99-4d4e-a734-39b1d4544fad,2
38,38,1f3d3fcb-f188-47a2-87e5-ac1db6cf393a,0
39,39,27bac116-ea57-4512-ad35-714a62d259cd,0
40,40,5246af08-0730-40f7-83de-29b5d62b9b6d,-1
41,41,7d999a68-0215-4e45-8e6c-879c6ca2b771,2
42,42,9117969a-3f0d-478b-ad75-98263e3bfacf,2
43,43,6b6af675-e1ef-43a6-b408-95cfc71fe2cc,2
44,44,febb430e-2d50-4f83-87a0-b5ffbb9a4943,2
45,45,ad714133-1e03-4d3a-8427-33fc483daf1a,2
46,46,8413c5c6-b42b-4ec6-b751-881a54413628,-1
47,47,4b93a168-0f3b-4124-88fa-a57046ca70e1,0
48,48,bc1602ba-dd6c-4ae4-bcb2-4925e7c8632a,2
49,49,7cbecb3f-6a8a-48e5-a3be-8f7a762b5a04,0
50,50,c07d13ed-e387-4457-8e33-1d16aed3fd92,2
51,51,a8a59fc3-a658-4db4-b5e8-09f1e4df03fd,0
52,52,7f3dddf8-637f-47bb-a7b7-e303277b2107,0
53,53,8b7c808f-763b-44c8-b273-63c6afbc6aae,2
54,54,e49f221d-399d-4297-bb7d-2d23cc0e4acc,2
55,55,82a42cdf-3140-427b-8ad0-0d504716c871,-1
56,56,f936a701-5f8a-4aa1-b7a9-9f8b5b69bc7c,-1
57,57,80f6ffdd-f692-450f-ab19-cd6d45bfd73e,2
58,58,63517fd4-ece1-49eb-9259-371dc30b1dd6,2
59,59,f93bfce4-e814-4ae3-9cdf-59f4dcdedf51,2
60,60,8ca1a850-26ef-42be-8b28-c2e2d12f06d6,0
61,61,70da415f-444d-4148-ade7-a1f58a16fcf8,2
62,62,6e1379e8-3af0-4fc5-8ba8-37d3bb02226b,2
63,63,8d59da25-3a9c-44be-8b1a-e27cdd39ca34,2
64,64,bf96f6d6-4726-4cfa-804a-bca8f9262721,2
65,65,b53cc868-008a-4d20-a33a-ea3101be2d34,-1
66,66,f68d9f26-ac40-4c67-9cbf-9ad1851292f7,0
67,67,a3d13b05-bf4d-427a-a2d5-2fe050d603ec,0
68,68,19baa84c-22a5-4589-9cbd-c23f111c054c,0
69,69,143dd7cf-6a47-47a1-906d-927ad7fe9117,2
70,70,84bb830f-b9ff-4e6b-9296-f458fb41d160,2
71,71,ca5764ea-a57e-49de-8156-84da18ad439f,0
72,72,7a620688-66cb-44d3-b79b-ccac1c8ba23e,2
73,73,02cc03e4-8015-4050-bb42-6c832091febb,2
74,74,a12c8ae8-d5ad-4d15-b805-436ad23e5ad1,2
75,75,523f8301-4f56-4faf-ab33-a9ff11331118,2
76,76,b749446c-18e3-4987-820a-50649ab0f826,2
77,77,36362f75-96d8-4ed4-a728-5e72284d0995,2
78,78,8abf098f-d4f6-4957-9c0a-f53685db74cc,2
79,79,2ff92e61-c2af-4dbf-8862-bd50b344762b,-1
80,80,11a5a93e-58a9-4ed0-995e-52279ec16b98,0
81,81,49c2ea3d-2b50-4e8a-b124-9e190960784e,0
82,82,84fd7fa3-6c2d-4233-b265-46a427d3d68d,0
83,83,ae252f7b-0224-4925-8174-7b25c2385bb7,0
84,84,63a32e5c-f63a-450d-85cb-140947b67eaf,0
85,85,ee3345e6-540d-4cea-9e4a-7f1b2fb9a4e4,2
86,86,50cdbc2b-4ecd-4044-955d-9654505f7f98,-1
87,87,dc50c3de-5d84-4408-9725-22ae55b93522,0
88,88,f06d6cd9-a6b8-49a4-90d1-7905d04c2f8b,-1
89,89,8b1b285d-c176-421b-b564-3b2c6404fb1e,-1
90,90,c6e294f7-5421-4697-8618-8ccc9b0269f6,2
91,91,d7361c6f-6751-4b5f-91c2-fdd61f988aa4,-1
92,92,6d9b6393-6729-4a15-ad08-c6838842a074,0
93,93,485b50c8-71e1-4654-9a07-64395c15f5ed,2
94,94,3fded122-619c-4e65-aadd-d5420978d167,0
95,95,41a3b948-13f4-4be7-90b9-150705d39005,-1
96,96,9657af01-50bd-4120-8303-416ad9e24a51,0
97,97,9e44ddb5-7c7c-48f1-954a-6cec2ad26088,-1
98,98,8185f1e9-cfe0-4fd6-8d7e-446a8051c588,-1
99,99,bbe6ebc1-d32f-42dd-a89c-211226737deb,2
