,pid,eid,probe,lab,subject,institute,lab_number,region,date,n_channels,neuron_yield,total_yield,lfp_derivative,lfp_power,lfp_theta_power,lfp_power_raw,lfp_theta_power_raw,lfp_whole_probe,rms_ap_p90,n_trials,behavior,age_at_recording,n_sess_before_recording
1,0b8ea3ec-e75b-41a1-9442-64f5fbc11a5a,a4a74102-2af5-45dc-9e41-ef7f5aed88be,probe00,mainenlab,ZFM-02368,CCU,Lab 2,PPC,2021-06-01,50,21,0.5388888888888889,0.2103424072265625,-164.15071667734702,-137.83770520273762,-178.7859,-156.55258,-170.7286819782249,19.696739909176603,408,True,163.0,54.0
2,0b8ea3ec-e75b-41a1-9442-64f5fbc11a5a,a4a74102-2af5-45dc-9e41-ef7f5aed88be,probe00,mainenlab,ZFM-02368,CCU,Lab 2,CA1,2021-06-01,54,3,0.5388888888888889,0.2103424072265625,-157.99001513473996,-133.14205144839738,-168.6949,-139.91098,-170.7286819782249,13.599018163327345,408,True,163.0,54.0
3,0b8ea3ec-e75b-41a1-9442-64f5fbc11a5a,a4a74102-2af5-45dc-9e41-ef7f5aed88be,probe00,mainenlab,ZFM-02368,CCU,Lab 2,DG,2021-06-01,58,4,0.5388888888888889,0.2103424072265625,-151.66643388252615,-126.84186049722175,-154.7246,-122.454216,-170.7286819782249,15.541406539716228,408,True,163.0,54.0
4,0b8ea3ec-e75b-41a1-9442-64f5fbc11a5a,a4a74102-2af5-45dc-9e41-ef7f5aed88be,probe00,mainenlab,ZFM-02368,CCU,Lab 2,LP,2021-06-01,56,51,0.5388888888888889,0.2103424072265625,-179.38366453370512,-158.2856638710377,-169.98792,-137.67625,-170.7286819782249,24.56046619072898,408,True,163.0,54.0
5,0b8ea3ec-e75b-41a1-9442-64f5fbc11a5a,a4a74102-2af5-45dc-9e41-ef7f5aed88be,probe00,mainenlab,ZFM-02368,CCU,Lab 2,PO,2021-06-01,46,61,0.5388888888888889,0.2103424072265625,-183.06938227634075,-166.3154677335206,-171.76743,-139.7224,-170.7286819782249,25.64384245922792,408,True,163.0,54.0
6,e42e948c-3154-45cb-bf52-408b7cda0f2f,d57df551-6dcb-4242-9c72-b806cff5613a,probe00,churchlandlab_ucla,UCLA005,UCLA,Lab 10,PPC,2021-08-02,0,0,0.14545454545454545,0.5863475799560547,,,,,-175.29180238310414,0.0,772,True,181.0,68.0
7,e42e948c-3154-45cb-bf52-408b7cda0f2f,d57df551-6dcb-4242-9c72-b806cff5613a,probe00,churchlandlab_ucla,UCLA005,UCLA,Lab 10,CA1,2021-08-02,28,5,0.14545454545454545,0.5863475799560547,-164.3416911472131,-138.50682421475287,-157.66438,-138.35657,-175.29180238310414,17.4047938585874,772,True,181.0,68.0
8,e42e948c-3154-45cb-bf52-408b7cda0f2f,d57df551-6dcb-4242-9c72-b806cff5613a,probe00,churchlandlab_ucla,UCLA005,UCLA,Lab 10,DG,2021-08-02,72,2,0.14545454545454545,0.5863475799560547,-160.21900014410997,-136.50446782175618,-154.76962,-132.81989,-175.29180238310414,18.392781528455096,772,True,181.0,68.0
9,e42e948c-3154-45cb-bf52-408b7cda0f2f,d57df551-6dcb-4242-9c72-b806cff5613a,probe00,churchlandlab_ucla,UCLA005,UCLA,Lab 10,LP,2021-08-02,0,0,0.14545454545454545,0.5863475799560547,,,,,-175.29180238310414,0.0,772,True,181.0,68.0
10,e42e948c-3154-45cb-bf52-408b7cda0f2f,d57df551-6dcb-4242-9c72-b806cff5613a,probe00,churchlandlab_ucla,UCLA005,UCLA,Lab 10,PO,2021-08-02,0,0,0.14545454545454545,0.5863475799560547,,,,,-175.29180238310414,0.0,772,True,181.0,68.0
