,pid,eid,probe,lab,subject,institute,lab_number,region,date,n_channels,neuron_yield,lfp_power,lfp_theta_power,lfp_power_raw,lfp_theta_power_raw,rms_ap_p90,n_trials,behavior,age_at_recording,n_sess_before_recording
1,0b8ea3ec-e75b-41a1-9442-64f5fbc11a5a,a4a74102-2af5-45dc-9e41-ef7f5aed88be,probe00,mainenlab,ZFM-02368,CCU,Lab 2,PPC,2021-06-01,50,13,-164.15071667734702,-137.83770520273762,-178.7859,-156.55258,19.696739909176603,408,True,163,54
2,0b8ea3ec-e75b-41a1-9442-64f5fbc11a5a,a4a74102-2af5-45dc-9e41-ef7f5aed88be,probe00,mainenlab,ZFM-02368,CCU,Lab 2,CA1,2021-06-01,54,1,-157.99001513473996,-133.14205144839738,-168.6949,-139.91098,13.599018163327345,408,True,163,54
3,0b8ea3ec-e75b-41a1-9442-64f5fbc11a5a,a4a74102-2af5-45dc-9e41-ef7f5aed88be,probe00,mainenlab,ZFM-02368,CCU,Lab 2,DG,2021-06-01,58,3,-151.66643388252615,-126.84186049722175,-154.7246,-122.454216,15.541406539716228,408,True,163,54
4,0b8ea3ec-e75b-41a1-9442-64f5fbc11a5a,a4a74102-2af5-45dc-9e41-ef7f5aed88be,probe00,mainenlab,ZFM-02368,CCU,Lab 2,LP,2021-06-01,56,33,-179.38366453370512,-158.2856638710377,-169.98792,-137.67625,24.56046619072898,408,True,163,54
5,0b8ea3ec-e75b-41a1-9442-64f5fbc11a5a,a4a74102-2af5-45dc-9e41-ef7f5aed88be,probe00,mainenlab,ZFM-02368,CCU,Lab 2,PO,2021-06-01,46,45,-183.06938227634075,-166.3154677335206,-171.76743,-139.7224,25.64384245922792,408,True,163,54
6,e42e948c-3154-45cb-bf52-408b7cda0f2f,d57df551-6dcb-4242-9c72-b806cff5613a,probe00,churchlandlab_ucla,UCLA005,UCLA,Lab 10,PPC,2021-08-02,0,0,,,-171.76743,-139.7224,0.0,772,True,181,68
7,e42e948c-3154-45cb-bf52-408b7cda0f2f,d57df551-6dcb-4242-9c72-b806cff5613a,probe00,churchlandlab_ucla,UCLA005,UCLA,Lab 10,CA1,2021-08-02,28,1,-164.3416911472131,-138.50682421475287,-157.66438,-138.35657,17.4047938585874,772,True,181,68
8,e42e948c-3154-45cb-bf52-408b7cda0f2f,d57df551-6dcb-4242-9c72-b806cff5613a,probe00,churchlandlab_ucla,UCLA005,UCLA,Lab 10,DG,2021-08-02,72,2,-160.21900014410997,-136.50446782175618,-154.76962,-132.81989,18.392781528455096,772,True,181,68
9,e42e948c-3154-45cb-bf52-408b7cda0f2f,d57df551-6dcb-4242-9c72-b806cff5613a,probe00,churchlandlab_ucla,UCLA005,UCLA,Lab 10,LP,2021-08-02,0,0,,,-154.76962,-132.81989,0.0,772,True,181,68
10,e42e948c-3154-45cb-bf52-408b7cda0f2f,d57df551-6dcb-4242-9c72-b806cff5613a,probe00,churchlandlab_ucla,UCLA005,UCLA,Lab 10,PO,2021-08-02,0,0,,,-154.76962,-132.81989,0.0,772,True,181,68
11,ce397420-3cd2-4a55-8fd1-5e28321981f4,56b57c38-2699-4091-90a8-aba35103155e,probe01,mrsicflogellab,SWC_054,SWC,Lab 6,PPC,2020-10-05,46,28,-170.044099623859,-141.04446367866328,-184.58458,-150.10147,13.778848911583328,571,True,146,50
12,ce397420-3cd2-4a55-8fd1-5e28321981f4,56b57c38-2699-4091-90a8-aba35103155e,probe01,mrsicflogellab,SWC_054,SWC,Lab 6,CA1,2020-10-05,56,8,-158.5513286528806,-130.44298253122884,-166.22807,-132.07951,16.420005958827765,571,True,146,50
13,ce397420-3cd2-4a55-8fd1-5e28321981f4,56b57c38-2699-4091-90a8-aba35103155e,probe01,mrsicflogellab,SWC_054,SWC,Lab 6,DG,2020-10-05,70,6,-153.14490007055292,-128.33398371487493,-155.58247,-125.47493,16.227814768536927,571,True,146,50
14,ce397420-3cd2-4a55-8fd1-5e28321981f4,56b57c38-2699-4091-90a8-aba35103155e,probe01,mrsicflogellab,SWC_054,SWC,Lab 6,LP,2020-10-05,56,35,-184.4376960420146,-158.42156859188907,-176.04083,-142.89763,16.865475008690566,571,True,146,50
15,ce397420-3cd2-4a55-8fd1-5e28321981f4,56b57c38-2699-4091-90a8-aba35103155e,probe01,mrsicflogellab,SWC_054,SWC,Lab 6,PO,2020-10-05,46,38,-189.7085976627729,-168.16733507758906,-180.62053,-147.70949,19.23674674378339,571,True,146,50
16,b83407f8-8220-46f9-9b90-a4c9f150c572,bb099402-fb31-4cfd-824e-1c97530a0875,probe00,churchlandlab_ucla,UCLA017,UCLA,Lab 10,PPC,2021-11-16,0,0,,,-180.62053,-147.70949,0.0,665,True,245,107
17,b83407f8-8220-46f9-9b90-a4c9f150c572,bb099402-fb31-4cfd-824e-1c97530a0875,probe00,churchlandlab_ucla,UCLA017,UCLA,Lab 10,CA1,2021-11-16,0,0,,,-180.62053,-147.70949,0.0,665,True,245,107
18,b83407f8-8220-46f9-9b90-a4c9f150c572,bb099402-fb31-4cfd-824e-1c97530a0875,probe00,churchlandlab_ucla,UCLA017,UCLA,Lab 10,DG,2021-11-16,0,0,,,-180.62053,-147.70949,0.0,665,True,245,107
19,b83407f8-8220-46f9-9b90-a4c9f150c572,bb099402-fb31-4cfd-824e-1c97530a0875,probe00,churchlandlab_ucla,UCLA017,UCLA,Lab 10,LP,2021-11-16,0,0,,,-180.62053,-147.70949,0.0,665,True,245,107
20,b83407f8-8220-46f9-9b90-a4c9f150c572,bb099402-fb31-4cfd-824e-1c97530a0875,probe00,churchlandlab_ucla,UCLA017,UCLA,Lab 10,PO,2021-11-16,0,0,,,-180.62053,-147.70949,0.0,665,True,245,107
21,f4bd76a6-66c9-41f3-9311-6962315f8fc8,72cb5550-43b4-4ef0-add5-e4adfdfb5e02,probe00,mainenlab,ZFM-02369,CCU,Lab 2,PPC,2021-05-19,42,4,-165.55387024034692,-136.0045594653167,-179.61028,-146.18665,20.56324430335885,733,True,150,46
22,f4bd76a6-66c9-41f3-9311-6962315f8fc8,72cb5550-43b4-4ef0-add5-e4adfdfb5e02,probe00,mainenlab,ZFM-02369,CCU,Lab 2,CA1,2021-05-19,56,0,-155.36767781866084,-125.79160962168294,-157.08482,-120.05952,15.844562602092255,733,True,150,46
23,f4bd76a6-66c9-41f3-9311-6962315f8fc8,72cb5550-43b4-4ef0-add5-e4adfdfb5e02,probe00,mainenlab,ZFM-02369,CCU,Lab 2,DG,2021-05-19,52,6,-156.10752817730946,-133.56131957557793,-152.49742,-123.05541,17.640394039547555,733,True,150,46
24,f4bd76a6-66c9-41f3-9311-6962315f8fc8,72cb5550-43b4-4ef0-add5-e4adfdfb5e02,probe00,mainenlab,ZFM-02369,CCU,Lab 2,LP,2021-05-19,60,22,-185.7222994969678,-163.65256568654297,-170.04773,-137.73196,20.443340128017745,733,True,150,46
25,f4bd76a6-66c9-41f3-9311-6962315f8fc8,72cb5550-43b4-4ef0-add5-e4adfdfb5e02,probe00,mainenlab,ZFM-02369,CCU,Lab 2,PO,2021-05-19,94,52,-185.29928089672032,-170.12471004204636,-172.57938,-141.22655,25.713870796019563,733,True,150,46
26,3d3d5a5e-df26-43ee-80b6-2d72d85668a5,0c828385-6dd6-4842-a702-c5075f5f5e81,probe00,churchlandlab_ucla,UCLA015,UCLA,Lab 10,PPC,2022-03-31,0,0,,,-172.57938,-141.22655,0.0,610,True,380,185
27,3d3d5a5e-df26-43ee-80b6-2d72d85668a5,0c828385-6dd6-4842-a702-c5075f5f5e81,probe00,churchlandlab_ucla,UCLA015,UCLA,Lab 10,CA1,2022-03-31,56,6,-162.84592682356978,-136.55106285022472,-156.84935,-129.3346,12.50208562016101,610,True,380,185
28,3d3d5a5e-df26-43ee-80b6-2d72d85668a5,0c828385-6dd6-4842-a702-c5075f5f5e81,probe00,churchlandlab_ucla,UCLA015,UCLA,Lab 10,DG,2022-03-31,66,5,-154.91821849915394,-130.62977328652966,-151.93335,-123.63695,13.781855134718063,610,True,380,185
29,3d3d5a5e-df26-43ee-80b6-2d72d85668a5,0c828385-6dd6-4842-a702-c5075f5f5e81,probe00,churchlandlab_ucla,UCLA015,UCLA,Lab 10,LP,2022-03-31,18,8,-184.29711507754777,-159.67655835215172,-159.84348,-133.5742,14.891297336720283,610,True,380,185
30,3d3d5a5e-df26-43ee-80b6-2d72d85668a5,0c828385-6dd6-4842-a702-c5075f5f5e81,probe00,churchlandlab_ucla,UCLA015,UCLA,Lab 10,PO,2022-03-31,0,0,,,-159.84348,-133.5742,0.0,610,True,380,185
31,e31b4e39-e350-47a9-aca4-72496d99ff2a,746d1902-fa59-4cab-b0aa-013be36060d5,probe00,mainenlab,ZFM-01592,CCU,Lab 2,PPC,2020-10-20,0,0,,,-159.84348,-133.5742,0.0,660,True,128,27
32,e31b4e39-e350-47a9-aca4-72496d99ff2a,746d1902-fa59-4cab-b0aa-013be36060d5,probe00,mainenlab,ZFM-01592,CCU,Lab 2,CA1,2020-10-20,26,5,-160.60158663959913,-137.7246323408461,-164.73839,-131.63345,16.822232280099,660,True,128,27
33,e31b4e39-e350-47a9-aca4-72496d99ff2a,746d1902-fa59-4cab-b0aa-013be36060d5,probe00,mainenlab,ZFM-01592,CCU,Lab 2,DG,2020-10-20,62,6,-154.87478281976763,-129.55483874569066,-154.6627,-120.136185,16.770225743918715,660,True,128,27
34,e31b4e39-e350-47a9-aca4-72496d99ff2a,746d1902-fa59-4cab-b0aa-013be36060d5,probe00,mainenlab,ZFM-01592,CCU,Lab 2,LP,2020-10-20,68,50,-183.97106307878602,-165.05331782516697,-172.00609,-136.57071,23.09516338427702,660,True,128,27
35,e31b4e39-e350-47a9-aca4-72496d99ff2a,746d1902-fa59-4cab-b0aa-013be36060d5,probe00,mainenlab,ZFM-01592,CCU,Lab 2,PO,2020-10-20,84,62,-189.61606579117466,-174.62972767530087,-176.07549,-141.42535,22.219038810676505,660,True,128,27
36,6fc4d73c-2071-43ec-a756-c6c6d8322c8b,dac3a4c1-b666-4de0-87e8-8c514483cacf,probe01,hoferlab,SWC_060,SWC,Lab 6,PPC,2020-11-24,68,0,-171.29891824505296,-145.38824712311907,-190.15108,-164.49062,12.348751213820051,501,True,119,25
37,6fc4d73c-2071-43ec-a756-c6c6d8322c8b,dac3a4c1-b666-4de0-87e8-8c514483cacf,probe01,hoferlab,SWC_060,SWC,Lab 6,CA1,2020-11-24,58,1,-161.06167848091482,-136.19438719484094,-168.9518,-138.24579,17.990809485237513,501,True,119,25
38,6fc4d73c-2071-43ec-a756-c6c6d8322c8b,dac3a4c1-b666-4de0-87e8-8c514483cacf,probe01,hoferlab,SWC_060,SWC,Lab 6,DG,2020-11-24,72,2,-158.2406928439662,-135.84445070224257,-157.88966,-127.74113,15.923618063338719,501,True,119,25
39,6fc4d73c-2071-43ec-a756-c6c6d8322c8b,dac3a4c1-b666-4de0-87e8-8c514483cacf,probe01,hoferlab,SWC_060,SWC,Lab 6,LP,2020-11-24,66,17,-186.13667592343336,-165.47197868092775,-175.05879,-142.93835,18.17640831510549,501,True,119,25
40,6fc4d73c-2071-43ec-a756-c6c6d8322c8b,dac3a4c1-b666-4de0-87e8-8c514483cacf,probe01,hoferlab,SWC_060,SWC,Lab 6,PO,2020-11-24,56,18,-186.51211533609944,-169.01707553245825,-177.34273,-145.58807,21.433675784458174,501,True,119,25
41,1e176f17-d00f-49bb-87ff-26d237b525f1,a8a8af78-16de-4841-ab07-fde4b5281a03,probe00,angelakilab,NYU-12,NYU,Lab 4,PPC,2020-01-22,52,10,-171.51844604629045,-142.17661821355495,-181.12917,-144.71057,16.750530059145277,550,True,148,46
42,1e176f17-d00f-49bb-87ff-26d237b525f1,a8a8af78-16de-4841-ab07-fde4b5281a03,probe00,angelakilab,NYU-12,NYU,Lab 4,CA1,2020-01-22,46,4,-162.99174638687276,-135.8139262641125,-169.12196,-135.60619,16.373963295614253,550,True,148,46
43,1e176f17-d00f-49bb-87ff-26d237b525f1,a8a8af78-16de-4841-ab07-fde4b5281a03,probe00,angelakilab,NYU-12,NYU,Lab 4,DG,2020-01-22,30,4,-155.02468406422855,-126.94113125864587,-157.5085,-123.744,18.725309087994155,550,True,148,46
44,1e176f17-d00f-49bb-87ff-26d237b525f1,a8a8af78-16de-4841-ab07-fde4b5281a03,probe00,angelakilab,NYU-12,NYU,Lab 4,LP,2020-01-22,54,2,-183.0033555549331,-165.6901163513741,-183.93803,-154.24156,21.5755088264514,550,True,148,46
45,1e176f17-d00f-49bb-87ff-26d237b525f1,a8a8af78-16de-4841-ab07-fde4b5281a03,probe00,angelakilab,NYU-12,NYU,Lab 4,PO,2020-01-22,2,0,-187.65205655161458,-172.17452893320637,-184.19353,-155.08347,20.266260550406706,550,True,148,46
46,16799c7a-e395-435d-a4c4-a678007e1550,0a018f12-ee06-4b11-97aa-bbbff5448e9f,probe00,cortexlab,KS051,UCL,Lab 1,PPC,2021-05-11,60,28,-167.40216056569338,-138.08854819997072,-184.42168,-149.4654,17.33329194627189,478,True,168,63
47,16799c7a-e395-435d-a4c4-a678007e1550,0a018f12-ee06-4b11-97aa-bbbff5448e9f,probe00,cortexlab,KS051,UCL,Lab 1,CA1,2021-05-11,56,7,-155.36634172094355,-126.71255369931093,-163.45792,-127.81419,11.653818567955653,478,True,168,63
48,16799c7a-e395-435d-a4c4-a678007e1550,0a018f12-ee06-4b11-97aa-bbbff5448e9f,probe00,cortexlab,KS051,UCL,Lab 1,DG,2021-05-11,68,9,-151.29666813465113,-127.3548870345463,-154.2301,-123.78705,11.961179765414068,478,True,168,63
49,16799c7a-e395-435d-a4c4-a678007e1550,0a018f12-ee06-4b11-97aa-bbbff5448e9f,probe00,cortexlab,KS051,UCL,Lab 1,LP,2021-05-11,62,24,-185.13846638496892,-161.34621762831412,-174.74933,-139.78934,16.86923337978379,478,True,168,63
50,16799c7a-e395-435d-a4c4-a678007e1550,0a018f12-ee06-4b11-97aa-bbbff5448e9f,probe00,cortexlab,KS051,UCL,Lab 1,PO,2021-05-11,0,0,,,-174.74933,-139.78934,0.0,478,True,168,63
51,b25799a5-09e8-4656-9c1b-44bc9cbb5279,d2832a38-27f6-452d-91d6-af72d794136c,probe00,wittenlab,ibl_witten_29,Princeton,Lab 5,PPC,2021-06-08,64,2,-170.4863897329958,-144.33817777697163,-165.77777,-149.09364,11.091174548905794,663,True,252,91
52,b25799a5-09e8-4656-9c1b-44bc9cbb5279,d2832a38-27f6-452d-91d6-af72d794136c,probe00,wittenlab,ibl_witten_29,Princeton,Lab 5,CA1,2021-06-08,52,2,-159.60427922899214,-134.63670239512047,-156.21228,-131.09152,13.989028524927754,663,True,252,91
53,b25799a5-09e8-4656-9c1b-44bc9cbb5279,d2832a38-27f6-452d-91d6-af72d794136c,probe00,wittenlab,ibl_witten_29,Princeton,Lab 5,DG,2021-06-08,58,5,-154.09117937644788,-131.96646245329327,-150.4244,-126.10375,17.84947109290728,663,True,252,91
54,b25799a5-09e8-4656-9c1b-44bc9cbb5279,d2832a38-27f6-452d-91d6-af72d794136c,probe00,wittenlab,ibl_witten_29,Princeton,Lab 5,LP,2021-06-08,56,18,-183.27119826652807,-161.58857889920108,-163.17502,-144.2366,16.63652543733319,663,True,252,91
55,b25799a5-09e8-4656-9c1b-44bc9cbb5279,d2832a38-27f6-452d-91d6-af72d794136c,probe00,wittenlab,ibl_witten_29,Princeton,Lab 5,PO,2021-06-08,90,55,-186.9432377344759,-172.05539915890083,-165.45131,-149.8377,24.897166165402247,663,True,252,91
56,c17772a9-21b5-49df-ab31-3017addea12e,6f09ba7e-e3ce-44b0-932b-c003fb44fb89,probe01,hoferlab,SWC_043,SWC,Lab 6,PPC,2020-09-16,40,0,-186.60836987558918,-157.1417957789095,-191.4213,-151.47806,12.966090452471466,551,True,280,82
57,c17772a9-21b5-49df-ab31-3017addea12e,6f09ba7e-e3ce-44b0-932b-c003fb44fb89,probe01,hoferlab,SWC_043,SWC,Lab 6,CA1,2020-09-16,52,6,-158.07439254310722,-131.4133621405569,-164.28305,-131.28372,20.9726151082334,551,True,280,82
58,c17772a9-21b5-49df-ab31-3017addea12e,6f09ba7e-e3ce-44b0-932b-c003fb44fb89,probe01,hoferlab,SWC_043,SWC,Lab 6,DG,2020-09-16,96,0,-153.09067616526204,-128.2455183830253,-152.42268,-120.91657,21.07867389778238,551,True,280,82
59,c17772a9-21b5-49df-ab31-3017addea12e,6f09ba7e-e3ce-44b0-932b-c003fb44fb89,probe01,hoferlab,SWC_043,SWC,Lab 6,LP,2020-09-16,84,53,-188.81376302192243,-171.00740195973634,-169.89558,-137.75316,22.349149247431225,551,True,280,82
60,c17772a9-21b5-49df-ab31-3017addea12e,6f09ba7e-e3ce-44b0-932b-c003fb44fb89,probe01,hoferlab,SWC_043,SWC,Lab 6,PO,2020-09-16,70,40,-188.04468557557524,-167.5649839066997,-172.92026,-141.87907,23.676644863359375,551,True,280,82
61,0851db85-2889-4070-ac18-a40e8ebd96ba,73918ae1-e4fd-4c18-b132-00cb555b1ad2,probe01,wittenlab,ibl_witten_27,Princeton,Lab 5,PPC,2021-01-21,86,10,-181.83793069215443,-155.22633784490696,-183.36931,-158.34053,16.163234720494035,625,True,191,69
62,0851db85-2889-4070-ac18-a40e8ebd96ba,73918ae1-e4fd-4c18-b132-00cb555b1ad2,probe01,wittenlab,ibl_witten_27,Princeton,Lab 5,CA1,2021-01-21,66,2,-160.20623785284712,-136.39755509324425,-178.12639,-149.83603,16.340166861595247,625,True,191,69
63,0851db85-2889-4070-ac18-a40e8ebd96ba,73918ae1-e4fd-4c18-b132-00cb555b1ad2,probe01,wittenlab,ibl_witten_27,Princeton,Lab 5,DG,2021-01-21,52,1,-157.7523914526907,-136.29515318200447,-163.86087,-137.70403,15.552051376853083,625,True,191,69
64,0851db85-2889-4070-ac18-a40e8ebd96ba,73918ae1-e4fd-4c18-b132-00cb555b1ad2,probe01,wittenlab,ibl_witten_27,Princeton,Lab 5,LP,2021-01-21,10,0,-173.35003705088215,-148.9992519861849,-175.54561,-148.27054,15.683024844385702,625,True,191,69
65,0851db85-2889-4070-ac18-a40e8ebd96ba,73918ae1-e4fd-4c18-b132-00cb555b1ad2,probe01,wittenlab,ibl_witten_27,Princeton,Lab 5,PO,2021-01-21,0,0,,,-175.54561,-148.27054,0.0,625,True,191,69
66,eeb27b45-5b85-4e5c-b6ff-f639ca5687de,f312aaec-3b6f-44b3-86b4-3a0c119c0438,probe00,churchlandlab,CSHL058,CSHL (C),Lab 3,PPC,2020-07-07,100,29,-170.4153231531771,-144.6567080408724,-184.0694,-152.9836,14.171809844987772,626,True,266,75
67,eeb27b45-5b85-4e5c-b6ff-f639ca5687de,f312aaec-3b6f-44b3-86b4-3a0c119c0438,probe00,churchlandlab,CSHL058,CSHL (C),Lab 3,CA1,2020-07-07,46,2,-159.72888107155984,-134.22870161493194,-166.57512,-135.4954,14.507992790470226,626,True,266,75
68,eeb27b45-5b85-4e5c-b6ff-f639ca5687de,f312aaec-3b6f-44b3-86b4-3a0c119c0438,probe00,churchlandlab,CSHL058,CSHL (C),Lab 3,DG,2020-07-07,50,0,-151.72284802500326,-122.61101544443686,-154.40038,-119.31023,16.066335848131203,626,True,266,75
69,eeb27b45-5b85-4e5c-b6ff-f639ca5687de,f312aaec-3b6f-44b3-86b4-3a0c119c0438,probe00,churchlandlab,CSHL058,CSHL (C),Lab 3,LP,2020-07-07,70,34,-176.193257352919,-153.80967907969077,-173.8545,-142.94838,23.53896905540395,626,True,266,75
70,eeb27b45-5b85-4e5c-b6ff-f639ca5687de,f312aaec-3b6f-44b3-86b4-3a0c119c0438,probe00,churchlandlab,CSHL058,CSHL (C),Lab 3,PO,2020-07-07,50,22,-181.23089123789387,-162.0562394434603,-178.74496,-149.32317,20.89391678937618,626,True,266,75
71,69f42a9c-095d-4a25-bca8-61a9869871d3,dda5fc59-f09a-4256-9fb5-66c67667a466,probe00,churchlandlab,CSHL059,CSHL (C),Lab 3,PPC,2020-03-06,28,3,-166.01162528374002,-139.6798488010217,-167.73283,-129.56285,15.10248953645778,751,True,143,38
72,69f42a9c-095d-4a25-bca8-61a9869871d3,dda5fc59-f09a-4256-9fb5-66c67667a466,probe00,churchlandlab,CSHL059,CSHL (C),Lab 3,CA1,2020-03-06,42,4,-157.40868395233073,-132.71963464028414,-158.8096,-123.0276,15.772052397727355,751,True,143,38
73,69f42a9c-095d-4a25-bca8-61a9869871d3,dda5fc59-f09a-4256-9fb5-66c67667a466,probe00,churchlandlab,CSHL059,CSHL (C),Lab 3,DG,2020-03-06,60,8,-149.89405204518556,-126.57325914764324,-148.2962,-114.919334,18.958207434242745,751,True,143,38
74,69f42a9c-095d-4a25-bca8-61a9869871d3,dda5fc59-f09a-4256-9fb5-66c67667a466,probe00,churchlandlab,CSHL059,CSHL (C),Lab 3,LP,2020-03-06,46,18,-177.17764023346754,-151.95351648601508,-167.53654,-130.4598,18.20075801989521,751,True,143,38
75,69f42a9c-095d-4a25-bca8-61a9869871d3,dda5fc59-f09a-4256-9fb5-66c67667a466,probe00,churchlandlab,CSHL059,CSHL (C),Lab 3,PO,2020-03-06,0,0,,,-167.53654,-130.4598,0.0,751,True,143,38
76,f03b61b4-6b13-479d-940f-d1608eb275cc,ee40aece-cffd-4edb-a4b6-155f158c666a,probe00,mainenlab,ZM_2241,CCU,Lab 2,PPC,2020-01-30,64,37,-169.7160132891329,-140.68479607168751,-184.99834,-154.64832,21.34257149548065,994,True,171,46
