UUID,GC,NS,FD,OID,Source
3bdd-4163,10,10,10,768908589,Allen
395f-9d12,8,9,8,Lederberg_2017-12-08_ephys_K3,Steinmetz
cdc4-9aa2,6,6,4,46630957-63fd-4d0d-a2ba-8766f0796db8,IBL
dc9e-a683,9,8,10,810755801,Allen
5788-6a1c,10,10,10,84bb830f-b9ff-4e6b-9296-f458fb41d160,IBL
fef9-843f,10,7,9,02cc03e4-8015-4050-bb42-6c832091febb,IBL
23c9-4097,10,7,9,b749446c-18e3-4987-820a-50649ab0f826,IBL
c131-da04,9,9,7,07abb39b-063b-4ef8-b3ab-963c6a1b5cc5,IBL
2399-317a,8,9,8,760640097,Allen
3a6f-8cf6,8,8,9,749cb2b7-e57e-4453-a794-f6230e4d0226,IBL
dcff-9c87,9,7,7,6d9b6393-6729-4a15-ad08-c6838842a074,IBL
261d-4e0f,8,8,7,3282a590-8688-44fc-9811-cdf8b80d9a80,IBL
2d2e-2922,8,7,9,b7612153-372f-415a-9770-7101fbbbdc59,IBL
57a9-619d,2,5,3,792607559,Allen
ffb5-7e30,8,7,8,ecde7e20-f135-47dd-8f96-adac49e4942e,IBL
600f-5a5c,9,10,7,5a34d971-1cb3-4f0e-8dfe-e51e2313a668,IBL
ebd5-576e,7,9,9,Radnitz_2017-01-10_ephys_M2,Steinmetz
8592-b960,8,10,8,757904557,Allen
6690-8fc0,8,9,8,730770d6-617a-4ada-95db-a48521befda5,IBL
dad9-35f5,9,9,8,Hench_2017-06-17_ephys_K2,Steinmetz
5420-f262,9,7,6,531423f6-d36d-472b-8234-c8f7b8293f79,IBL
709a-51c5,9,8,8,3d3d5a5e-df26-43ee-80b6-2d72d85668a5,IBL
f1ba-29f6,8,10,9,810753203,Allen
f4d1-0194,9,8,8,8abf098f-d4f6-4957-9c0a-f53685db74cc,IBL
dde2-d065,9,10,9,45e7731f-4a43-45d5-9029-c080150bc596,IBL
9dcd-2d82,8,10,9,Muller_2017-01-08_ephys_AM,Steinmetz
2690-527a,8,9,9,7cbecb3f-6a8a-48e5-a3be-8f7a762b5a04,IBL
ae30-ea9f,8,6,8,57656bee-e32e-4848-b924-0f6f18cfdfb1,IBL
148a-c192,6,5,7,Lederberg_2017-12-09_ephys_K2,Steinmetz
c77f-342d,7,8,10,Forssmann_2017-11-01_ephys_K3,Steinmetz
7fd0-0f0c,10,7,8,43436b4b-0431-407f-b83d-d657ec22b5c6,IBL
8316-d8bb,5,5,5,792626855,Allen
ff80-9c3e,6,4,5,Hench_2017-06-17_ephys_K3,Steinmetz
eb97-8a52,5,7,5,1f5d62cb-814f-4ab2-b6af-7557ea04d56a,IBL
8738-196f,5,6,5,800036206,Allen
911b-c052,8,8,9,Moniz_2017-05-15_ephys_AM,Steinmetz
6b6a-f0e2,9,9,8,Lederberg_2017-12-05_ephys_K3,Steinmetz
1677-533c,8,6,6,2c401cbd-b95c-4ebe-8a83-92b55ab49542,IBL
bf37-9440,9,10,9,bc1602ba-dd6c-4ae4-bcb2-4925e7c8632a,IBL
4b32-eb86,5,7,6,757984830,Allen
ce62-20ad,9,10,9,792676162,Allen
e5af-c3cf,9,8,8,81b1800e-f138-4337-abc9-bb0449b77852,IBL
a31a-5f44,9,10,9,63517fd4-ece1-49eb-9259-371dc30b1dd6,IBL
c254-d3ac,7,8,8,62a97aee-9f8b-40be-9ea7-f785ede30df8,IBL
e969-e549,10,10,10,Moniz_2017-05-18_ephys_M1,Steinmetz
17ab-4b0b,10,10,9,29418b18-4db6-436f-a85e-b0f1d38d2e62,IBL
ad44-c624,10,6,7,dd75e810-a399-4364-9d4a-517312cf3010,IBL
4c2b-1a36,10,4,7,f86e9571-63ff-4116-9c40-aa44d57d2da9,IBL
ef72-a6c2,10,4,9,fa539f97-a078-4fc6-9a12-237799466d9c,IBL
068b-e5e4,10,7,9,9657af01-50bd-4120-8303-416ad9e24a51,IBL
4428-fd7d,10,9,9,769322797,Allen
2d67-5a8b,10,7,8,7a620688-66cb-44d3-b79b-ccac1c8ba23e,IBL
9a24-d636,10,9,9,bbe6ebc1-d32f-42dd-a89c-211226737deb,IBL
a0d1-16fd,10,8,9,82765a73-2a03-42ca-ba98-194247caa62e,IBL
49cf-e463,10,6,9,17d9710a-f292-4226-b033-687d54b6545a,IBL
861c-cb1f,10,10,7,ee3345e6-540d-4cea-9e4a-7f1b2fb9a4e4,IBL
c2b2-735c,8,6,8,773462990,Allen
6f26-79b9,10,7,7,fe2d6fc9-b0c4-4256-b427-9c06950da925,IBL
101b-a16e,10,8,9,adca9242-0725-41d4-8eb1-5655a464431d,IBL
057e-566e,8,5,9,773463015,Allen
