,region,lfp_ratio,subject
0,CA1,1.8610803,SWC_054
1,DG,1.4281595,SWC_054
2,LP,2.621097,SWC_054
3,PO,3.2098522,SWC_054
4,PPC,3.8045545,SWC_054
5,CA1,1.9151653,ZFM-02369
6,DG,1.6912165,ZFM-02369
7,LP,2.9813328,ZFM-02369
8,PO,3.6270397,ZFM-02369
9,PPC,4.7853103,ZFM-02369
10,CA1,1.2137218,ZFM-01592
11,DG,1.5548911,ZFM-01592
12,LP,1.9253522,ZFM-01592
13,PO,1.9056358,ZFM-01592
14,PPC,,ZFM-01592
15,CA1,1.6613048,SWC_060
16,DG,1.5618095,SWC_060
17,LP,2.154705,SWC_060
18,PO,2.357264,SWC_060
19,PPC,3.5643103,SWC_060
20,CA1,1.3968432,NYU-12
21,DG,1.2848964,NYU-12
22,LP,1.2733603,NYU-12
23,PO,1.4430571,NYU-12
24,PPC,1.4659524,NYU-12
25,CA1,2.900945,ibl_witten_29
26,DG,2.2333465,ibl_witten_29
27,LP,3.6409101,ibl_witten_29
28,PO,3.9042616,ibl_witten_29
29,PPC,4.129084,ibl_witten_29
30,CA1,1.4012891,SWC_043
31,DG,1.2494158,SWC_043
32,LP,1.5763179,SWC_043
33,PO,1.7532268,SWC_043
34,PPC,1.2506503,SWC_043
35,CA1,,ibl_witten_27
36,DG,0.7868519,ibl_witten_27
37,LP,0.7096709,ibl_witten_27
38,PO,,ibl_witten_27
39,PPC,0.741458,ibl_witten_27
40,CA1,1.3160745,CSHL058
41,DG,1.3491778,CSHL058
42,LP,1.7149554,CSHL058
43,PO,1.8063229,CSHL058
44,PPC,1.8724052,CSHL058
45,CA1,1.8935087,CSHL059
46,DG,1.3969855,CSHL059
47,LP,2.9115808,CSHL059
48,PO,,CSHL059
49,PPC,2.9284098,CSHL059
50,CA1,1.3065282,ZM_2241
51,DG,1.2730168,ZM_2241
52,LP,1.5555103,ZM_2241
53,PO,1.5678375,ZM_2241
54,PPC,1.4203322,ZM_2241
55,CA1,1.7054623,NYU-21
56,DG,1.4351076,NYU-21
57,LP,2.2934785,NYU-21
58,PO,2.4920757,NYU-21
59,PPC,2.1451168,NYU-21
60,CA1,1.6715851,CSHL051
61,DG,1.601079,CSHL051
62,LP,,CSHL051
63,PO,,CSHL051
64,PPC,2.5814238,CSHL051
65,CA1,1.8677542,DY_018
66,DG,1.4551444,DY_018
67,LP,2.1374953,DY_018
68,PO,,DY_018
69,PPC,4.0923147,DY_018
70,CA1,2.422629,NYU-45
71,DG,2.1526475,NYU-45
72,LP,3.0658863,NYU-45
73,PO,3.2129724,NYU-45
74,PPC,4.242768,NYU-45
75,CA1,2.092697,NYU-48
76,DG,1.7463231,NYU-48
77,LP,2.3281133,NYU-48
78,PO,,NYU-48
79,PPC,2.5070186,NYU-48
80,CA1,1.371001,ZFM-02373
81,DG,1.2987161,ZFM-02373
82,LP,1.4084578,ZFM-02373
83,PO,1.4032981,ZFM-02373
84,PPC,1.3999624,ZFM-02373
85,CA1,1.5303191,DY_010
86,DG,1.2407182,DY_010
87,LP,1.5063818,DY_010
88,PO,1.6340635,DY_010
89,PPC,2.0073354,DY_010
90,CA1,1.1228222,DY_009
91,DG,0.9719888,DY_009
92,LP,1.2347027,DY_009
93,PO,,DY_009
94,PPC,,DY_009
95,CA1,1.4513903,ZFM-02370
96,DG,,ZFM-02370
97,LP,,ZFM-02370
98,PO,1.8186665,ZFM-02370
99,PPC,1.4870852,ZFM-02370
100,CA1,1.2306682,SWC_038
101,DG,1.1790218,SWC_038
102,LP,1.2380646,SWC_038
103,PO,,SWC_038
104,PPC,1.278265,SWC_038
105,CA1,1.6041069,DY_020
106,DG,1.1728792,DY_020
107,LP,,DY_020
108,PO,,DY_020
109,PPC,1.5958705,DY_020
110,CA1,1.4172295,NYU-37
111,DG,1.1410869,NYU-37
112,LP,1.7564976,NYU-37
113,PO,,NYU-37
114,PPC,,NYU-37
115,CA1,1.3535285,KS044
116,DG,1.208307,KS044
117,LP,1.5494646,KS044
118,PO,,KS044
119,PPC,1.7528862,KS044
120,CA1,1.7959838,NYU-29
121,DG,1.6859574,NYU-29
122,LP,2.232885,NYU-29
123,PO,2.1998682,NYU-29
124,PPC,2.1078784,NYU-29
125,CA1,2.962121,CSHL052
126,DG,1.9204385,CSHL052
127,LP,4.1696057,CSHL052
128,PO,4.4056377,CSHL052
129,PPC,4.201048,CSHL052
130,CA1,1.5212125,NYU-47
131,DG,1.3717788,NYU-47
132,LP,1.7869525,NYU-47
133,PO,,NYU-47
134,PPC,,NYU-47
135,CA1,1.6070372,SWC_042
136,DG,1.588921,SWC_042
137,LP,1.6819092,SWC_042
138,PO,,SWC_042
139,PPC,1.3191448,SWC_042
140,CA1,1.5116576,SWC_058
141,DG,1.3531591,SWC_058
142,LP,1.5085318,SWC_058
143,PO,,SWC_058
144,PPC,1.5508132,SWC_058
145,CA1,1.3224702,ZM_3001
146,DG,1.1961201,ZM_3001
147,LP,1.9524119,ZM_3001
148,PO,1.8964198,ZM_3001
149,PPC,1.310135,ZM_3001
150,CA1,1.0100935,ibl_witten_25
151,DG,inf,ibl_witten_25
152,LP,0.9917733,ibl_witten_25
153,PO,0.98094285,ibl_witten_25
154,PPC,227.37956,ibl_witten_25
155,CA1,1.7453616,ZFM-02372
156,DG,1.4916291,ZFM-02372
157,LP,1.8781606,ZFM-02372
158,PO,2.1821492,ZFM-02372
159,PPC,2.2063518,ZFM-02372
160,CA1,1.3521734,KS023
161,DG,1.250303,KS023
162,LP,1.7320371,KS023
163,PO,1.8568131,KS023
164,PPC,1.9855665,KS023
165,CA1,1.4346147,ZFM-01936
166,DG,1.6291124,ZFM-01936
167,LP,2.2795846,ZFM-01936
168,PO,2.3150506,ZFM-01936
169,PPC,1.5025002,ZFM-01936
170,CA1,1.8599156,CSH_ZAD_019
171,DG,1.5092168,CSH_ZAD_019
172,LP,,CSH_ZAD_019
173,PO,,CSH_ZAD_019
174,PPC,5.327744,CSH_ZAD_019
175,CA1,1.5869837,DY_016
176,DG,1.3215029,DY_016
177,LP,1.5839589,DY_016
178,PO,1.696601,DY_016
179,PPC,2.0224,DY_016
