,eid,probe,lab,subject,n_channels,neuron_yield,firing_rate,baseline_fano_factor,spike_amp_mean,spike_amp_90,pt_ratio,rp_slope,lfp_power_low,lfp_power_high,lfp_band_low,lfp_band_high,rms_ap
1,56b57c38-2699-4091-90a8-aba35103155e,probe01,mrsicflogellab,SWC_054,374,251,5.135602480207326,7.160192171730364,176.03895957777598,372.27791985161866,0.4618948339278065,26.519371959435574,-136.2713,-173.99304,"[2, 15]","[20, 80]",20.601753
2,746d1902-fa59-4cab-b0aa-013be36060d5,probe00,mainenlab,ZFM-01592,374,271,6.237117601289713,9.452005534222046,219.68230260016355,460.3449456045561,0.4889161195035717,35.62549717560208,-138.37196,-171.18031,"[2, 15]","[20, 80]",22.909546
3,7b26ce84-07f9-43d1-957f-bc72aeb730a3,probe00,angelakilab,NYU-27,374,28,5.007543141108364,3.9718621407018784,198.40081051971308,494.8242187499996,0.7733005810515557,36.43138172460654,-142.43828,-168.9,"[2, 15]","[20, 80]",27.174053
4,dac3a4c1-b666-4de0-87e8-8c514483cacf,probe01,hoferlab,SWC_060,374,67,5.119294126942715,5.096143303300394,156.92452818340982,291.5272105823862,0.4171289844733084,21.911667038679177,-144.70729,-173.66405,"[2, 15]","[20, 80]",18.924187
5,a8a8af78-16de-4841-ab07-fde4b5281a03,probe00,angelakilab,NYU-12,374,70,5.682878695421594,14.10074922550463,192.3840672921424,375.6739710365853,0.5194796187586965,27.194326655701968,-148.5085,-177.97398,"[2, 15]","[20, 80]",21.321922
6,6f09ba7e-e3ce-44b0-932b-c003fb44fb89,probe01,hoferlab,SWC_043,374,149,4.979695694818351,5.806450403740614,215.84837297070763,467.79633620689646,0.5084778796859756,30.461592330087825,-136.00787,-168.38036,"[2, 15]","[20, 80]",21.897896
7,73918ae1-e4fd-4c18-b132-00cb555b1ad2,probe01,wittenlab,ibl_witten_27,374,48,3.865811096300289,2.7615937471406937,141.2710312619453,233.81460336538464,0.4533495256313692,22.065571742646526,-157.53415,-180.67517,"[2, 15]","[20, 80]",19.228369
8,f312aaec-3b6f-44b3-86b4-3a0c119c0438,probe00,churchlandlab,CSHL058,374,165,6.820630654437439,12.855605345175809,171.91876702581197,299.3259830306112,0.47224912525735613,24.73163018386139,-146.32687,-174.559,"[2, 15]","[20, 80]",20.600248
9,dda5fc59-f09a-4256-9fb5-66c67667a466,probe00,churchlandlab,CSHL059,374,97,5.194522320555005,5.6324319534097365,155.63295589454464,304.9102914999067,0.5305901651050577,27.993522694251432,-126.960266,-162.16159,"[2, 15]","[20, 80]",21.169561
10,ee40aece-cffd-4edb-a4b6-155f158c666a,probe00,mainenlab,ZM_2241,374,214,5.520783205305991,13.216248970593739,209.64471509784852,500.01717534046685,0.46900013031788423,35.621144680352224,-139.95439,-171.22072,"[2, 15]","[20, 80]",21.917883
11,4b7fbad4-f6de-43b4-9b15-c7c7ef44db4b,probe00,churchlandlab,CSHL049,374,83,8.426919699198066,8.027639401748447,166.02945287948896,273.964608433735,0.6651863399132774,31.97972431365376,-114.68824,-156.26324,"[2, 15]","[20, 80]",29.710693
12,ecb5520d-1358-434c-95ec-93687ecd1396,probe00,churchlandlab,CSHL051,374,77,4.629470347563466,8.630969558427195,171.8148575190606,380.2489613880745,0.5229207662495231,39.87082835414144,-123.40809,-166.8952,"[2, 15]","[20, 80]",27.552053
13,54238fd6-d2d0-4408-b1a9-d19d24fd29ce,probe00,danlab,DY_018,374,110,8.164482593642411,5.089305610007671,225.63761294894306,530.7245192307693,0.49415666819579523,34.9560729287385,-145.29407,-182.24922,"[2, 15]","[20, 80]",22.555117
14,e535fb62-e245-4a48-b119-88ce62a6fe67,probe00,danlab,DY_013,374,75,4.362952704858481,4.492029150362034,177.0042235534731,403.5652418596897,0.8978318936074141,53.729871223379035,-155.58873,-191.32568,"[2, 15]","[20, 80]",17.60774
15,b03fbc44-3d8e-4a6c-8a50-5ea3498568e0,probe00,danlab,DY_010,374,191,5.566389020587467,4.544841208284784,188.91272492924176,403.98058252427165,0.48763790052552375,28.800523527962206,-142.26381,-177.00983,"[2, 15]","[20, 80]",19.285992
16,db4df448-e449-4a6f-a0e7-288711e7a75a,probe00,danlab,DY_009,374,167,4.402878350055075,6.39240093307062,176.0652976888793,401.1036506336407,0.6942131717467594,28.2775280684084,-145.59595,-181.19298,"[2, 15]","[20, 80]",20.07289
17,064a7252-8e10-4ad6-b3fd-7a88a2db5463,probe00,zadorlab,CSH_ZAD_029,374,200,5.725906197778236,41.127503406020566,192.83511584973755,389.4344161184209,0.516724893176909,31.168703899997492,-132.95097,-171.28319,"[2, 15]","[20, 80]",27.56095
18,7cb81727-2097-4b52-b480-c89867b5b34c,probe01,mrsicflogellab,SWC_052,374,32,5.185926096435811,7.950410343440697,145.03096300332516,288.6710778061224,0.5543675559181246,23.78744068681113,-145.63792,-172.78484,"[2, 15]","[20, 80]",21.888412
19,71e55bfe-5a3a-4cba-bdc7-f085140d798e,probe00,angelakilab,NYU-26,374,148,5.9586697502894115,13.188532413577605,231.43804223185344,598.3124999999998,0.6997619914882077,44.44529337268122,-141.4405,-172.5391,"[2, 15]","[20, 80]",24.878765
20,41872d7f-75cb-4445-bb1a-132b354c44f0,probe01,mrsicflogellab,SWC_038,374,65,7.8603763019678246,3.6786495746757364,191.53091013589108,348.6862499999999,0.5012282875551333,35.88822026733162,-142.27467,-173.77179,"[2, 15]","[20, 80]",21.182592
21,dfd8e7df-dc51-4589-b6ca-7baccfeb94b4,probe00,churchlandlab,CSHL045,374,127,5.091348833940581,13.806002985467956,155.85000330493614,329.09712357954544,0.4842290676581791,25.91615678464409,-inf,-inf,"[2, 15]","[20, 80]",18.953136
22,4a45c8ba-db6f-4f11-9403-56e06a33dfa4,probe00,danlab,DY_020,374,220,10.155248772290783,5.028815650832373,241.75376727672412,520.9888663767325,0.5375203191796355,40.386302619229646,-141.88008,-177.90741,"[2, 15]","[20, 80]",26.60311
23,15763234-d21e-491f-a01b-1238eb96d389,probe00,zadorlab,CSH_ZAD_026,374,191,8.955429848627611,6.011992610743631,230.78016337720317,466.8497202280403,0.5169688041983703,32.573296278657004,-143.06401,-175.0691,"[2, 15]","[20, 80]",20.274147
24,781b35fd-e1f0-4d14-b2bb-95b7263082bb,probe01,cortexlab,KS044,374,147,6.125129387284451,6.428919660029965,198.49038698970045,364.8808557513913,0.5726465376506427,30.188858766109824,-146.19077,-177.64929,"[2, 15]","[20, 80]",21.29301
25,4b00df29-3769-43be-bb40-128b1cba6d35,probe00,churchlandlab,CSHL052,374,70,10.733712126831294,6.530003189108634,193.85843052296028,332.55980499030994,0.4850930974365739,30.60701998741875,-133.22568,-173.5038,"[2, 15]","[20, 80]",23.702456
26,862ade13-53cd-4221-a3fa-dda8643641f2,probe01,hoferlab,SWC_042,374,37,1.6300986821622514,6.915075971024953,263.0089231307184,624.74841492052,0.6418278356771904,42.568643688505,-132.57756,-162.60066,"[2, 15]","[20, 80]",19.499529
27,3638d102-e8b6-4230-8742-e548cd87a949,probe01,mrsicflogellab,SWC_058,374,82,5.383431096617305,10.901634727206222,213.84978473608192,423.10714285714283,0.5412998054508235,34.74647975311459,-138.86887,-170.59097,"[2, 15]","[20, 80]",19.46588
28,c7248e09-8c0d-40f2-9eb4-700a8973d8c8,probe00,mainenlab,ZM_3001,374,308,8.772030880102276,7.130612529960908,226.1000611025644,483.9439165657177,0.5464712094912312,34.84724876950689,-139.38686,-167.9501,"[2, 15]","[20, 80]",24.23209
29,aad23144-0e52-4eac-80c5-c4ee2decb198,probe01,cortexlab,KS023,374,127,4.876523692336814,27.385417539567747,169.69700053386723,356.94481860632175,0.4698249449098455,25.230165387515413,-135.79555,-174.52257,"[2, 15]","[20, 80]",19.872646
30,d0ea3148-948d-4817-94f8-dcaf2342bbbe,probe00,mainenlab,ZFM-01936,374,152,4.718477375613399,7.166021792261246,184.08139174077078,375.6237399193548,0.45526202691659784,29.00202078424336,-137.1472,-168.40169,"[2, 15]","[20, 80]",20.077215
31,ff96bfe1-d925-4553-94b5-bf8297adf259,probe01,wittenlab,ibl_witten_26,374,140,7.102875781703361,67.56585966212579,242.74064642919848,534.6720096982762,0.6041621857323677,33.90399132092472,-128.1767,-156.02383,"[2, 15]","[20, 80]",64.98605
32,c4432264-e1ae-446f-8a07-6280abade813,probe00,mainenlab,ZFM-01576,374,74,7.471650705695205,4.958691109986948,172.16884123024005,327.0714436534748,0.6454391487596053,39.28168895766472,-143.44087,-173.81119,"[2, 15]","[20, 80]",19.375156
33,7f6b86f9-879a-4ea2-8531-294a221af5d0,probe00,zadorlab,CSH_ZAD_019,374,71,9.006696106774333,3.2337257324803907,180.70596825635653,382.7826222699813,0.7531587354219345,51.486337003416054,-137.3582,-168.93471,"[2, 15]","[20, 80]",25.915068
34,e26c6001-defe-42a9-9ded-368e3f03ac61,probe00,angelakilab,NYU-25,374,25,8.610762428018019,7.915795058873593,248.28386336636314,526.4870689655168,0.6472020667776074,49.16005504922328,-141.16182,-171.73079,"[2, 15]","[20, 80]",31.670288
35,d23a44ef-1402-4ed7-97f5-47e9a7a504d9,probe00,danlab,DY_016,374,159,6.462328982974527,6.335220160799824,166.96816877385857,367.9672280844156,0.5068570113929672,28.470521119299562,-147.3088,-180.48822,"[2, 15]","[20, 80]",25.032942
